Updating build index: /home/vsts/conda/conda-bld

TEST START: /tmp/tmpey0s1cxs/noarch/bioconductor-champ-2.22.0-r41hdfd78af_0.tar.bz2
Reloading output folder: /home/vsts/conda/conda-bld
  Package                                                            Version  Build                Channel                       Size
───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Install:
───────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────

  + _libgcc_mutex                                                        0.1  conda_forge          conda-forge/linux-64        Cached
  + _openmp_mutex                                                        4.5  1_gnu                conda-forge/linux-64        Cached
  + _r-mutex                                                           1.0.1  anacondar_1          conda-forge/noarch          Cached
  + binutils_impl_linux-64                                            2.36.1  h193b22a_2           conda-forge/linux-64        Cached
  + binutils_linux-64                                                   2.36  hf3e587d_1           conda-forge/linux-64        Cached
  + bioconductor-affy                                                 1.70.0  r41hd029910_0        bioconda/linux-64           Cached
  + bioconductor-affyio                                               1.62.0  r41hd029910_0        bioconda/linux-64           Cached
  + bioconductor-annotate                                             1.70.0  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-annotationdbi                                        1.54.0  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-annotationfilter                                     1.16.0  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-annotationhub                                         3.0.0  r41hdfd78af_0        bioconda/noarch               1 MB
  + bioconductor-beachmat                                              2.8.0  r41h399db7b_0        bioconda/linux-64             1 MB
  + bioconductor-biobase                                              2.52.0  r41hd029910_0        bioconda/linux-64           Cached
  + bioconductor-biocfilecache                                         2.0.0  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-biocgenerics                                         0.38.0  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-biocio                                                1.2.0  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-biocparallel                                         1.26.0  r41h399db7b_0        bioconda/linux-64           Cached
  + bioconductor-biocversion                                          3.13.1  r41hdfd78af_0        bioconda/noarch              13 KB
  + bioconductor-biomart                                              2.48.0  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-biostrings                                           2.60.0  r41hd029910_0        bioconda/linux-64           Cached
  + bioconductor-biovizbase                                           1.40.0  r41hd029910_0        bioconda/linux-64           Cached
  + bioconductor-bsgenome                                             1.60.0  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-bsseq                                                1.28.0  r41h399db7b_0        bioconda/linux-64             4 MB
  + bioconductor-bumphunter                                           1.34.0  r41hdfd78af_0        bioconda/noarch               4 MB
  + bioconductor-champ                                                2.22.0  r41hdfd78af_0        /tmp/tmpey0s1cxs/noarch       4 MB
  + bioconductor-champdata                                            2.24.0  r41hdfd78af_0        bioconda/noarch              18 KB
  + bioconductor-delayedarray                                         0.18.0  r41hd029910_0        bioconda/linux-64           Cached
  + bioconductor-delayedmatrixstats                                   1.14.0  r41hdfd78af_0        bioconda/noarch             705 KB
  + bioconductor-dmrcate                                               2.6.0  r41hdfd78af_0        bioconda/noarch             730 KB
  + bioconductor-dnacopy                                              1.66.0  r41hacda110_0        bioconda/linux-64           435 KB
  + bioconductor-dss                                                  2.40.0  r41hd029910_0        bioconda/linux-64             2 MB
  + bioconductor-edger                                                3.34.0  r41h399db7b_0        bioconda/linux-64           Cached
  + bioconductor-ensembldb                                            2.16.0  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-experimenthub                                         2.0.0  r41hdfd78af_0        bioconda/noarch             318 KB
  + bioconductor-fdb.infiniummethylation.hg19                          2.2.0  r41hdfd78af_11       bioconda/noarch               8 KB
  + bioconductor-genefilter                                           1.74.0  r41hba52eb8_0        bioconda/linux-64           Cached
  + bioconductor-genelendatabase                                      1.28.0  r41hdfd78af_0        bioconda/noarch              11 KB
  + bioconductor-genomeinfodb                                         1.28.0  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-genomeinfodbdata                                      1.2.6  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-genomicalignments                                    1.28.0  r41hd029910_0        bioconda/linux-64           Cached
  + bioconductor-genomicfeatures                                      1.44.0  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-genomicranges                                        1.44.0  r41hd029910_0        bioconda/linux-64           Cached
  + bioconductor-geoquery                                             2.60.0  r41hdfd78af_0        bioconda/noarch              13 MB
  + bioconductor-globaltest                                           5.46.0  r41hdfd78af_0        bioconda/noarch               1 MB
  + bioconductor-go.db                                                3.13.0  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-goseq                                                1.44.0  r41hdfd78af_0        bioconda/noarch               2 MB
  + bioconductor-gviz                                                 1.36.1  r41hdfd78af_0        bioconda/noarch               7 MB
  + bioconductor-hdf5array                                            1.20.0  r41ha2fdcc6_1        bioconda/linux-64            10 MB
  + bioconductor-illumina450probevariants.db                          1.28.0  r41hdfd78af_0        bioconda/noarch              18 KB
  + bioconductor-illuminahumanmethylation450kanno.ilmn12.hg19          0.6.0  1                    bioconda/linux-64             5 KB
  + bioconductor-illuminahumanmethylation450kmanifest                  0.4.0  r41hdfd78af_11       bioconda/noarch               9 KB
  + bioconductor-illuminahumanmethylationepicanno.ilm10b4.hg19         0.6.0  r41hdfd78af_10       bioconda/noarch               9 KB
  + bioconductor-illuminahumanmethylationepicmanifest                  0.3.0  r41hdfd78af_11       bioconda/noarch               9 KB
  + bioconductor-illuminaio                                           0.34.0  r41hd029910_0        bioconda/linux-64           332 KB
  + bioconductor-impute                                               1.66.0  r41hacda110_0        bioconda/linux-64           670 KB
  + bioconductor-interactivedisplaybase                               1.30.0  r41hdfd78af_0        bioconda/noarch              42 KB
  + bioconductor-iranges                                              2.26.0  r41hd029910_0        bioconda/linux-64           Cached
  + bioconductor-keggrest                                             1.32.0  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-limma                                                3.48.0  r41hd029910_0        bioconda/linux-64           Cached
  + bioconductor-lumi                                                 2.44.0  r41hdfd78af_0        bioconda/noarch               5 MB
  + bioconductor-marray                                               1.70.0  r41hdfd78af_0        bioconda/noarch               5 MB
  + bioconductor-matrixgenerics                                        1.4.0  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-methylumi                                            2.38.0  r41hdfd78af_0        bioconda/noarch               8 MB
  + bioconductor-minfi                                                1.38.0  r41hdfd78af_0        bioconda/noarch               1 MB
  + bioconductor-missmethyl                                           1.26.0  r41hdfd78af_0        bioconda/noarch               1 MB
  + bioconductor-multtest                                             2.48.0  r41hd029910_0        bioconda/linux-64           892 KB
  + bioconductor-org.hs.eg.db                                         3.13.0  r41hdfd78af_0        bioconda/noarch               8 KB
  + bioconductor-preprocesscore                                       1.54.0  r41hd029910_0        bioconda/linux-64           Cached
  + bioconductor-protgenerics                                         1.24.0  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-qvalue                                               2.24.0  r41hdfd78af_0        bioconda/noarch               3 MB
  + bioconductor-rhdf5                                                2.36.0  r41hfe70e90_2        bioconda/linux-64             3 MB
  + bioconductor-rhdf5filters                                          1.4.0  r41h399db7b_0        bioconda/linux-64           661 KB
  + bioconductor-rhdf5lib                                             1.14.0  r41hd029910_0        bioconda/linux-64             4 MB
  + bioconductor-rhtslib                                              1.24.0  r41hd029910_0        bioconda/linux-64           Cached
  + bioconductor-roc                                                  1.68.0  r41h399db7b_0        bioconda/linux-64           297 KB
  + bioconductor-rsamtools                                             2.8.0  r41h399db7b_0        bioconda/linux-64           Cached
  + bioconductor-rtracklayer                                          1.52.0  r41hd029910_0        bioconda/linux-64           Cached
  + bioconductor-s4vectors                                            0.30.0  r41hd029910_0        bioconda/linux-64           Cached
  + bioconductor-siggenes                                             1.66.0  r41hdfd78af_0        bioconda/noarch               1 MB
  + bioconductor-sparsematrixstats                                     1.4.0  r41h399db7b_0        bioconda/linux-64             1 MB
  + bioconductor-summarizedexperiment                                 1.22.0  r41hdfd78af_0        bioconda/noarch             Cached
  + bioconductor-sva                                                  3.40.0  r41hd029910_0        bioconda/linux-64           475 KB
  + bioconductor-txdb.hsapiens.ucsc.hg19.knowngene                     3.2.2  r41hdfd78af_11       bioconda/noarch               8 KB
  + bioconductor-variantannotation                                    1.38.0  r41hd029910_0        bioconda/linux-64           Cached
  + bioconductor-watermelon                                           1.36.0  r41hdfd78af_0        bioconda/noarch               1 MB
  + bioconductor-xvector                                              0.32.0  r41hd029910_0        bioconda/linux-64           Cached
  + bioconductor-zlibbioc                                             1.38.0  r41hd029910_0        bioconda/linux-64           Cached
  + bwidget                                                           1.9.14  ha770c72_1           conda-forge/linux-64        Cached
  + bzip2                                                              1.0.8  h7f98852_4           conda-forge/linux-64        Cached
  + c-ares                                                            1.18.1  h7f98852_0           conda-forge/linux-64        Cached
  + ca-certificates                                                2021.10.8  ha878542_0           conda-forge/linux-64        Cached
  + cairo                                                             1.16.0  h6cf1ce9_1008        conda-forge/linux-64        Cached
  + curl                                                              7.79.1  h2574ce0_1           conda-forge/linux-64        153 KB
  + font-ttf-dejavu-sans-mono                                           2.37  hab24e00_0           conda-forge/noarch          Cached
  + font-ttf-inconsolata                                               3.000  h77eed37_0           conda-forge/noarch          Cached
  + font-ttf-source-code-pro                                           2.038  h77eed37_0           conda-forge/noarch          Cached
  + font-ttf-ubuntu                                                     0.83  hab24e00_0           conda-forge/noarch          Cached
  + fontconfig                                                        2.13.1  hba837de_1005        conda-forge/linux-64        Cached
  + fonts-conda-ecosystem                                                  1  0                    conda-forge/noarch          Cached
  + fonts-conda-forge                                                      1  0                    conda-forge/noarch          Cached
  + freetype                                                          2.10.4  h0708190_1           conda-forge/linux-64        Cached
  + fribidi                                                           1.0.10  h36c2ea0_0           conda-forge/linux-64        Cached
  + gcc_impl_linux-64                                                  9.4.0  h03d3576_11          conda-forge/linux-64        Cached
