Updating build index: /home/vsts/conda/conda-bld

TEST START: /tmp/tmp1___i63q/noarch/bioconductor-chipxpress-1.36.0-r41hdfd78af_0.tar.bz2
Reloading output folder: /home/vsts/conda/conda-bld
  Package                                   Version  Build                Channel                       Size
──────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Install:
──────────────────────────────────────────────────────────────────────────────────────────────────────────────

  + _libgcc_mutex                               0.1  conda_forge          conda-forge/linux-64        Cached
  + _openmp_mutex                               4.5  1_gnu                conda-forge/linux-64        Cached
  + _r-mutex                                  1.0.1  anacondar_1          conda-forge/noarch            3 KB
  + binutils_impl_linux-64                   2.36.1  h193b22a_2           conda-forge/linux-64         10 MB
  + binutils_linux-64                          2.36  hf3e587d_1           conda-forge/linux-64         23 KB
  + bioconductor-affxparser                  1.64.0  r41h399db7b_0        bioconda/linux-64             1 MB
  + bioconductor-affy                        1.70.0  r41hd029910_0        bioconda/linux-64             2 MB
  + bioconductor-affyio                      1.62.0  r41hd029910_0        bioconda/linux-64           114 KB
  + bioconductor-biobase                     2.52.0  r41hd029910_0        bioconda/linux-64             2 MB
  + bioconductor-biocgenerics                0.38.0  r41hdfd78af_0        bioconda/noarch             702 KB
  + bioconductor-biostrings                  2.60.0  r41hd029910_0        bioconda/linux-64            14 MB
  + bioconductor-chipxpress                  1.36.0  r41hdfd78af_0        /tmp/tmp1___i63q/noarch     423 KB
  + bioconductor-chipxpressdata              1.30.0  r41hdfd78af_0        bioconda/noarch              18 KB
  + bioconductor-delayedarray                0.18.0  r41hd029910_0        bioconda/linux-64             3 MB
  + bioconductor-frma                        1.44.0  r41hdfd78af_0        bioconda/noarch             587 KB
  + bioconductor-genomeinfodb                1.28.0  r41hdfd78af_0        bioconda/noarch               4 MB
  + bioconductor-genomeinfodbdata             1.2.6  r41hdfd78af_0        bioconda/noarch               7 KB
  + bioconductor-genomicranges               1.44.0  r41hd029910_0        bioconda/linux-64             2 MB
  + bioconductor-geoquery                    2.60.0  r41hdfd78af_0        bioconda/noarch              13 MB
  + bioconductor-iranges                     2.26.0  r41hd029910_0        bioconda/linux-64             2 MB
  + bioconductor-limma                       3.48.0  r41hd029910_0        bioconda/linux-64             3 MB
  + bioconductor-matrixgenerics               1.4.0  r41hdfd78af_0        bioconda/noarch             324 KB
  + bioconductor-oligo                       1.56.0  r41hd029910_0        bioconda/linux-64            28 MB
  + bioconductor-oligoclasses                1.54.0  r41hdfd78af_0        bioconda/noarch               1 MB
  + bioconductor-preprocesscore              1.54.0  r41hd029910_0        bioconda/linux-64           191 KB
  + bioconductor-s4vectors                   0.30.0  r41hd029910_0        bioconda/linux-64             2 MB
  + bioconductor-summarizedexperiment        1.22.0  r41hdfd78af_0        bioconda/noarch               3 MB
  + bioconductor-xvector                     0.32.0  r41hd029910_0        bioconda/linux-64           731 KB
  + bioconductor-zlibbioc                    1.38.0  r41hd029910_0        bioconda/linux-64           113 KB
  + bwidget                                  1.9.14  ha770c72_1           conda-forge/linux-64        120 KB
  + bzip2                                     1.0.8  h7f98852_4           conda-forge/linux-64        Cached
  + c-ares                                   1.18.1  h7f98852_0           conda-forge/linux-64        Cached
  + ca-certificates                       2021.10.8  ha878542_0           conda-forge/linux-64        Cached
  + cairo                                    1.16.0  h6cf1ce9_1008        conda-forge/linux-64          1 MB
  + curl                                     7.79.1  h494985f_1           conda-forge/linux-64        153 KB
  + font-ttf-dejavu-sans-mono                  2.37  hab24e00_0           conda-forge/noarch          388 KB
  + font-ttf-inconsolata                      3.000  h77eed37_0           conda-forge/noarch           94 KB
  + font-ttf-source-code-pro                  2.038  h77eed37_0           conda-forge/noarch          684 KB
  + font-ttf-ubuntu                            0.83  hab24e00_0           conda-forge/noarch            2 MB
  + fontconfig                               2.13.1  hba837de_1005        conda-forge/linux-64        357 KB
  + fonts-conda-ecosystem                         1  0                    conda-forge/noarch            4 KB
  + fonts-conda-forge                             1  0                    conda-forge/noarch            4 KB
  + freetype                                 2.10.4  h0708190_1           conda-forge/linux-64        890 KB
  + fribidi                                  1.0.10  h36c2ea0_0           conda-forge/linux-64        112 KB
  + gcc_impl_linux-64                         9.4.0  h03d3576_11          conda-forge/linux-64         46 MB
  + gcc_linux-64                              9.4.0  h391b98a_1           conda-forge/linux-64         24 KB
  + gettext                                0.19.8.1  h73d1719_1008        conda-forge/linux-64          4 MB
  + gfortran_impl_linux-64                    9.4.0  h0003116_11          conda-forge/linux-64         15 MB
  + gfortran_linux-64                         9.4.0  hf0ab688_1           conda-forge/linux-64         23 KB
  + graphite2                                1.3.13  h58526e2_1001        conda-forge/linux-64        102 KB
  + gsl                                         2.7  he838d99_0           conda-forge/linux-64          3 MB
  + gxx_impl_linux-64                         9.4.0  h03d3576_11          conda-forge/linux-64         11 MB
  + gxx_linux-64                              9.4.0  h0316aca_1           conda-forge/linux-64         23 KB
  + harfbuzz                                  3.0.0  h83ec7ef_1           conda-forge/linux-64          2 MB
  + icu                                        68.1  h58526e2_0           conda-forge/linux-64        Cached
  + jbig                                        2.1  h7f98852_2003        conda-forge/linux-64         43 KB
  + jpeg                                         9d  h36c2ea0_0           conda-forge/linux-64        264 KB
  + kernel-headers_linux-64                  2.6.32  he073ed8_14          conda-forge/noarch          708 KB
  + krb5                                     1.19.2  h48eae69_2           conda-forge/linux-64          1 MB
  + ld_impl_linux-64                         2.36.1  hea4e1c9_2           conda-forge/linux-64        Cached
  + lerc                                        3.0  h9c3ff4c_0           conda-forge/linux-64        216 KB
  + libblas                                   3.9.0  12_linux64_openblas  conda-forge/linux-64         12 KB
  + libcblas                                  3.9.0  12_linux64_openblas  conda-forge/linux-64         12 KB
  + libcurl                                  7.79.1  h494985f_1           conda-forge/linux-64        337 KB
  + libdeflate                                  1.8  h7f98852_0           conda-forge/linux-64         67 KB
  + libedit                            3.1.20191231  he28a2e2_2           conda-forge/linux-64        Cached
  + libev                                      4.33  h516909a_1           conda-forge/linux-64        Cached
  + libffi                                    3.4.2  h9c3ff4c_4           conda-forge/linux-64        Cached
  + libgcc-devel_linux-64                     9.4.0  hd854feb_11          conda-forge/linux-64          4 MB
  + libgcc-ng                                11.2.0  h1d223b6_11          conda-forge/linux-64        Cached
  + libgfortran-ng                           11.2.0  h69a702a_11          conda-forge/linux-64         19 KB
  + libgfortran5                             11.2.0  h5c6108e_11          conda-forge/linux-64          2 MB
  + libglib                                  2.70.0  h174f98d_1           conda-forge/linux-64          3 MB
  + libgomp                                  11.2.0  h1d223b6_11          conda-forge/linux-64        Cached
  + libiconv                                   1.16  h516909a_0           conda-forge/linux-64        Cached
  + liblapack                                 3.9.0  12_linux64_openblas  conda-forge/linux-64         12 KB
  + libnghttp2                               1.43.0  ha19adfc_1           conda-forge/linux-64        790 KB
  + libopenblas                              0.3.18  pthreads_h8fe5266_0  conda-forge/linux-64         10 MB
  + libpng                                   1.6.37  h21135ba_2           conda-forge/linux-64        306 KB
  + libsanitizer                              9.4.0  h79bfe98_11          conda-forge/linux-64          7 MB
  + libssh2                                  1.10.0  ha35d2d1_2           conda-forge/linux-64        233 KB
  + libstdcxx-devel_linux-64                  9.4.0  hd854feb_11          conda-forge/linux-64         10 MB
  + libstdcxx-ng                             11.2.0  he4da1e4_11          conda-forge/linux-64        Cached
  + libtiff                                   4.3.0  h6f004c6_2           conda-forge/linux-64        614 KB
  + libuuid                                  2.32.1  h7f98852_1000        conda-forge/linux-64         28 KB
  + libwebp-base                              1.2.1  h7f98852_0           conda-forge/linux-64        845 KB
  + libxcb                                     1.13  h7f98852_1003        conda-forge/linux-64        395 KB
  + libxml2                                  2.9.12  h72842e0_0           conda-forge/linux-64        Cached
  + libzlib                                  1.2.11  h36c2ea0_1013        conda-forge/linux-64        Cached
  + lz4-c                                     1.9.3  h9c3ff4c_1           conda-forge/linux-64        Cached
  + make                                        4.3  hd18ef5c_1           conda-forge/linux-64        507 KB
  + ncurses                                     6.2  h58526e2_4           conda-forge/linux-64        Cached
  + openssl                                   3.0.0  h7f98852_1           conda-forge/linux-64          3 MB
  + pango                                   1.48.10  h54213e6_2           conda-forge/linux-64        403 KB
  + pcre                                       8.45  h9c3ff4c_0           conda-forge/linux-64        253 KB
  + pcre2                                     10.37  h032f7d1_0           conda-forge/linux-64          1 MB
  + pixman                                   0.40.0  h36c2ea0_0           conda-forge/linux-64        627 KB
  + pthread-stubs                               0.4  h36c2ea0_1001        conda-forge/linux-64          5 KB
  + r-askpass                                   1.1  r41hcfec24a_2        conda-forge/linux-64         28 KB
  + r-assertthat                              0.2.1  r41hc72bb7e_2        conda-forge/noarch           70 KB
  + r-base                                    4.1.1  hb93adac_1           conda-forge/linux-64         25 MB
  + r-bh                                   1.75.0_0  r41hc72bb7e_0        conda-forge/noarch           11 MB
  + r-biganalytics                           1.1.21  r41h9c3ff4c_0        conda-forge/linux-64        165 KB
  + r-biglm                                 0.9_2.1  r41h859d828_0        conda-forge/linux-64         85 KB
  + r-bigmemory                              4.5.36  r41h03ef668_1        conda-forge/linux-64        555 KB
  + r-bigmemory.sri                           0.1.3  r41hc72bb7e_1004     conda-forge/noarch           24 KB
  + r-biocmanager                           1.30.16  r41hc72bb7e_0        conda-forge/noarch          341 KB
  + r-bit                                     4.0.4  r41hcfec24a_0        conda-forge/linux-64        613 KB
  + r-bit64                                   4.0.5  r41hcfec24a_0        conda-forge/linux-64        506 KB
  + r-bitops                                  1.0_7  r41hcfec24a_0        conda-forge/linux-64         44 KB
  + r-blob                                    1.2.2  r41hc72bb7e_0        conda-forge/noarch           64 KB
  + r-cachem                                  1.0.6  r41hcfec24a_0        conda-forge/linux-64         72 KB
  + r-cli                                     3.0.1  r41h03ef668_1        conda-forge/linux-64        703 KB
  + r-clipr                                   0.7.1  r41hc72bb7e_0        conda-forge/noarch           65 KB
