  Package                                   Version  Build               Channel                                                                    Size
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Install:
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────

  + _r-mutex                                  1.0.1  anacondar_1         conda-forge/noarch                                                         3 KB
  + bioconductor-annotate                    1.70.0  r41hdfd78af_0       bioconda/noarch                                                            2 MB
  + bioconductor-annotationdbi               1.54.0  r41hdfd78af_0       bioconda/noarch                                                            5 MB
  + bioconductor-biobase                     2.52.0  r41h68a2ddb_0       bioconda/osx-64                                                            2 MB
  + bioconductor-biocfilecache                2.0.0  r41hdfd78af_0       bioconda/noarch                                                          570 KB
  + bioconductor-biocgenerics                0.38.0  r41hdfd78af_0       bioconda/noarch                                                          702 KB
  + bioconductor-biostrings                  2.60.0  r41h68a2ddb_0       bioconda/osx-64                                                           14 MB
  + bioconductor-delayedarray                0.18.0  r41h68a2ddb_0       bioconda/osx-64                                                            2 MB
  + bioconductor-edger                       3.34.0  r41h832b226_0       bioconda/osx-64                                                            2 MB
  + bioconductor-enrichmentbrowser           2.22.0  r41hdfd78af_0       /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/tmpnjtdaafa/noarch        2 MB
  + bioconductor-genomeinfodb                1.28.0  r41hdfd78af_0       bioconda/noarch                                                            4 MB
  + bioconductor-genomeinfodbdata             1.2.6  r41hdfd78af_0       bioconda/noarch                                                            7 KB
  + bioconductor-genomicranges               1.44.0  r41h68a2ddb_0       bioconda/osx-64                                                            2 MB
  + bioconductor-go.db                       3.13.0  r41hdfd78af_0       bioconda/noarch                                                            8 KB
  + bioconductor-graph                       1.70.0  r41h68a2ddb_0       bioconda/osx-64                                                            2 MB
  + bioconductor-graphite                    1.38.0  r41hdfd78af_0       bioconda/noarch                                                          945 KB
  + bioconductor-gseabase                    1.54.0  r41hdfd78af_0       bioconda/noarch                                                          982 KB
  + bioconductor-iranges                     2.26.0  r41h68a2ddb_0       bioconda/osx-64                                                            2 MB
  + bioconductor-kegggraph                   1.52.0  r41hdfd78af_0       bioconda/noarch                                                            2 MB
  + bioconductor-keggrest                    1.32.0  r41hdfd78af_0       bioconda/noarch                                                          193 KB
  + bioconductor-limma                       3.48.0  r41h68a2ddb_0       bioconda/osx-64                                                            3 MB
  + bioconductor-matrixgenerics               1.4.0  r41hdfd78af_0       bioconda/noarch                                                          324 KB
  + bioconductor-org.hs.eg.db                3.13.0  r41hdfd78af_0       bioconda/noarch                                                            8 KB
  + bioconductor-pathview                    1.32.0  r41hdfd78af_0       bioconda/noarch                                                            3 MB
  + bioconductor-rgraphviz                   2.36.0  r41h832b226_0       bioconda/osx-64                                                            2 MB
  + bioconductor-s4vectors                   0.30.0  r41h68a2ddb_0       bioconda/osx-64                                                            2 MB
  + bioconductor-safe                        3.32.0  r41hdfd78af_0       bioconda/noarch                                                          748 KB
  + bioconductor-spia                        2.44.0  r41hdfd78af_0       bioconda/noarch                                                            3 MB
  + bioconductor-summarizedexperiment        1.22.0  r41hdfd78af_0       bioconda/noarch                                                            3 MB
  + bioconductor-xvector                     0.32.0  r41h68a2ddb_0       bioconda/osx-64                                                          720 KB
  + bioconductor-zlibbioc                    1.38.0  r41h68a2ddb_0       bioconda/osx-64                                                          112 KB
  + bwidget                                  1.9.14  h694c41f_0          conda-forge/osx-64                                                       119 KB
  + bzip2                                     1.0.8  h0d85af4_4          conda-forge/osx-64                                                       Cached
  + c-ares                                   1.17.2  h0d85af4_0          conda-forge/osx-64                                                       Cached
  + ca-certificates                       2021.5.30  h033912b_0          conda-forge/osx-64                                                       Cached
  + cairo                                    1.16.0  he43a7df_1008       conda-forge/osx-64                                                         1 MB
  + cctools_osx-64                          973.0.1  h3e07e27_2          conda-forge/osx-64                                                         2 MB
  + clang                                    12.0.1  h694c41f_3          conda-forge/osx-64                                                       124 KB
  + clang-12                                 12.0.1  default_he082bbe_3  conda-forge/osx-64                                                       700 KB
  + clang_osx-64                             12.0.1  hb91bd55_1          conda-forge/osx-64                                                        16 KB
  + clangxx                                  12.0.1  default_he082bbe_3  conda-forge/osx-64                                                       125 KB
  + clangxx_osx-64                           12.0.1  h7e1b574_1          conda-forge/osx-64                                                        15 KB
  + compiler-rt                              12.0.1  he01351e_0          conda-forge/osx-64                                                        80 KB
  + compiler-rt_osx-64                       12.0.1  hd3f61c9_0          conda-forge/noarch                                                         6 MB
  + curl                                     7.79.0  hb861fe1_0          conda-forge/osx-64                                                       141 KB
  + font-ttf-dejavu-sans-mono                  2.37  hab24e00_0          conda-forge/noarch                                                       388 KB
  + font-ttf-inconsolata                      3.000  h77eed37_0          conda-forge/noarch                                                        94 KB
  + font-ttf-source-code-pro                  2.038  h77eed37_0          conda-forge/noarch                                                       684 KB
  + font-ttf-ubuntu                            0.83  hab24e00_0          conda-forge/noarch                                                         2 MB
  + fontconfig                               2.13.1  h10f422b_1005       conda-forge/osx-64                                                       271 KB
  + fonts-conda-ecosystem                         1  0                   conda-forge/noarch                                                         4 KB
  + fonts-conda-forge                             1  0                   conda-forge/noarch                                                         4 KB
  + freetype                                 2.10.4  h4cff582_1          conda-forge/osx-64                                                       890 KB
  + fribidi                                  1.0.10  hbcb3906_0          conda-forge/osx-64                                                        64 KB
  + gettext                                0.19.8.1  hd1a6beb_1006       conda-forge/osx-64                                                         3 MB
  + gfortran_impl_osx-64                      9.3.0  h9cc0e5e_23         conda-forge/osx-64                                                        19 MB
  + gfortran_osx-64                           9.3.0  h18f7dce_14         conda-forge/osx-64                                                        21 KB
  + gmp                                       6.2.1  h2e338ed_0          conda-forge/osx-64                                                       774 KB
  + graphite2                                1.3.13  h2e338ed_1001       conda-forge/osx-64                                                        85 KB
  + gsl                                         2.7  h93259b0_0          conda-forge/osx-64                                                         3 MB
  + harfbuzz                                  2.9.1  h159f659_0          conda-forge/osx-64                                                         2 MB
  + icu                                        68.1  h74dc148_0          conda-forge/osx-64                                                       Cached
  + isl                                      0.22.1  hb1e8313_2          conda-forge/osx-64                                                       790 KB
  + jbig                                        2.1  h0d85af4_2003       conda-forge/osx-64                                                        42 KB
  + jpeg                                         9d  hbcb3906_0          conda-forge/osx-64                                                       250 KB
  + krb5                                     1.19.2  hcfbf3a7_0          conda-forge/osx-64                                                       Cached
  + ld64_osx-64                                 609  h2487922_2          conda-forge/osx-64                                                         2 MB
  + ldid                                      2.1.2  h7660a38_2          conda-forge/osx-64                                                        55 KB
  + lerc                                      2.2.1  h046ec9c_0          conda-forge/osx-64                                                       164 KB
  + libblas                                   3.9.0  11_osx64_openblas   conda-forge/osx-64                                                        12 KB
  + libcblas                                  3.9.0  11_osx64_openblas   conda-forge/osx-64                                                        11 KB
  + libclang-cpp12                           12.0.1  default_he082bbe_3  conda-forge/osx-64                                                        13 MB
  + libcurl                                  7.79.0  hf45b732_0          conda-forge/osx-64                                                       Cached
  + libcxx                                   12.0.1  habf9029_0          conda-forge/osx-64                                                       Cached
  + libdeflate                                  1.7  h35c211d_5          conda-forge/osx-64                                                        67 KB
  + libedit                            3.1.20191231  h0678c8f_2          conda-forge/osx-64                                                       Cached
  + libev                                      4.33  haf1e3a3_1          conda-forge/osx-64                                                       Cached
  + libffi                                    3.4.2  he49afe7_1          conda-forge/osx-64                                                       Cached
  + libgfortran                               5.0.0  9_3_0_h6c81a4c_23   conda-forge/osx-64                                                        19 KB
  + libgfortran-devel_osx-64                  9.3.0  h6c81a4c_23         conda-forge/noarch                                                       333 KB
  + libgfortran5                              9.3.0  h6c81a4c_23         conda-forge/osx-64                                                         2 MB
  + libglib                                  2.68.4  hf1fb8c0_1          conda-forge/osx-64                                                         3 MB
  + libiconv                                   1.16  haf1e3a3_0          conda-forge/osx-64                                                       Cached
  + liblapack                                 3.9.0  11_osx64_openblas   conda-forge/osx-64                                                        11 KB
  + libllvm12                                12.0.1  hd011deb_2          conda-forge/osx-64                                                        24 MB
  + libnghttp2                               1.43.0  h07e645a_0          conda-forge/osx-64                                                       Cached
  + libopenblas                              0.3.17  openmp_h3351f45_1   conda-forge/osx-64                                                         9 MB
  + libpng                                   1.6.37  h7cec526_2          conda-forge/osx-64                                                       313 KB
  + libssh2                                  1.10.0  h52ee1ee_0          conda-forge/osx-64                                                       Cached
  + libtiff                                   4.3.0  h1167814_1          conda-forge/osx-64                                                       621 KB
  + libwebp-base                              1.2.1  h0d85af4_0          conda-forge/osx-64                                                       692 KB
  + libxml2                                  2.9.12  h93ec3fd_0          conda-forge/osx-64                                                       Cached
  + llvm-openmp                              12.0.1  hda6cdc1_1          conda-forge/osx-64                                                       287 KB
  + llvm-tools                               12.0.1  hd011deb_2          conda-forge/osx-64                                                        12 MB
  + lz4-c                                     1.9.3  he49afe7_1          conda-forge/osx-64                                                       Cached
  + make                                        4.3  h22f3db7_1          conda-forge/osx-64                                                       249 KB
  + mpc                                       1.2.1  hbb51d92_0          conda-forge/osx-64                                                       103 KB
  + mpfr                                      4.1.0  h0f52abe_1          conda-forge/osx-64                                                       400 KB
  + ncurses                                     6.2  h2e338ed_4          conda-forge/osx-64                                                       Cached
  + openssl                                  1.1.1l  h0d85af4_0          conda-forge/osx-64                                                       Cached
  + pango                                   1.48.10  ha05cd14_0          conda-forge/osx-64                                                       385 KB
  + pcre                                       8.45  he49afe7_0          conda-forge/osx-64                                                       220 KB
  + pcre2                                     10.37  ha16e1b2_0          conda-forge/osx-64                                                         1 MB
  + pixman                                   0.40.0  hbcb3906_0          conda-forge/osx-64                                                       615 KB
  + r-askpass                                   1.1  r41h28b5c78_2       conda-forge/osx-64                                                        27 KB
  + r-assertthat                              0.2.1  r41hc72bb7e_2       conda-forge/noarch                                                        70 KB
  + r-backports                               1.2.1  r41h28b5c78_0       conda-forge/osx-64                                                        97 KB
