  Package                              Version  Build                Channel                          Size
────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Install:
────────────────────────────────────────────────────────────────────────────────────────────────────────────

  + _libgcc_mutex                          0.1  conda_forge          conda-forge/linux-64           Cached
  + _openmp_mutex                          4.5  1_gnu                conda-forge/linux-64           Cached
  + _r-mutex                             1.0.1  anacondar_1          conda-forge/noarch               3 KB
  + binutils_impl_linux-64              2.36.1  h193b22a_2           conda-forge/linux-64            10 MB
  + binutils_linux-64                     2.36  hf3e587d_1           conda-forge/linux-64            23 KB
  + bioconductor-annotationdbi          1.46.0  r36_1                bioconda/noarch                  5 MB
  + bioconductor-biobase                2.44.0  r36h516909a_1        bioconda/linux-64                2 MB
  + bioconductor-biocgenerics           0.30.0  r36_1                bioconda/noarch                683 KB
  + bioconductor-biocparallel           1.18.0  r36he1b5a44_1        bioconda/linux-64                1 MB
  + bioconductor-clusterprofiler        3.12.0  r36_1                bioconda/noarch                554 KB
  + bioconductor-do.db                     2.9  0                    bioconda/linux-64                1 MB
  + bioconductor-dose                   3.10.2  r36_0                bioconda/noarch                  3 MB
  + bioconductor-enrichplot              1.4.0  r36_1                bioconda/noarch                168 KB
  + bioconductor-fgsea                  1.10.0  r36he1b5a44_1        bioconda/linux-64              962 KB
  + bioconductor-go.db                   3.8.2  r36_1                bioconda/noarch                  7 KB
  + bioconductor-gosemsim               2.10.0  r36he1b5a44_1        bioconda/linux-64              797 KB
  + bioconductor-graph                  1.62.0  r36h516909a_1        bioconda/linux-64                2 MB
  + bioconductor-graphite               1.30.0  r36_1                bioconda/noarch                868 KB
  + bioconductor-iranges                2.18.2  r36h516909a_0        bioconda/linux-64                2 MB
  + bioconductor-mirsponge              1.10.0  r36he1b5a44_1        /tmp/tmp_ln_g_pd/linux-64      665 KB
  + bioconductor-org.hs.eg.db            3.8.2  r36_1                bioconda/noarch                  7 KB
  + bioconductor-qvalue                 2.16.0  r36_1                bioconda/noarch                  3 MB
  + bioconductor-reactome.db            1.68.0  r36_1                bioconda/noarch                  7 KB
  + bioconductor-reactomepa             1.28.0  r36_1                bioconda/noarch                  1 MB
  + bioconductor-s4vectors              0.22.0  r36h516909a_1        bioconda/linux-64                2 MB
  + bwidget                             1.9.14  ha770c72_0           conda-forge/linux-64           119 KB
  + bzip2                                1.0.8  h7f98852_4           conda-forge/linux-64           Cached
  + c-ares                              1.17.2  h7f98852_0           conda-forge/linux-64           Cached
  + ca-certificates                  2021.5.30  ha878542_0           conda-forge/linux-64           Cached
  + cairo                               1.16.0  h6cf1ce9_1008        conda-forge/linux-64             1 MB
  + curl                                7.79.0  hea6ffbf_0           conda-forge/linux-64           153 KB
  + font-ttf-dejavu-sans-mono             2.37  hab24e00_0           conda-forge/noarch             388 KB
  + font-ttf-inconsolata                 3.000  h77eed37_0           conda-forge/noarch              94 KB
  + font-ttf-source-code-pro             2.038  h77eed37_0           conda-forge/noarch             684 KB
  + font-ttf-ubuntu                       0.83  hab24e00_0           conda-forge/noarch               2 MB
  + fontconfig                          2.13.1  hba837de_1005        conda-forge/linux-64           357 KB
  + fonts-conda-ecosystem                    1  0                    conda-forge/noarch               4 KB
  + fonts-conda-forge                        1  0                    conda-forge/noarch               4 KB
  + freetype                            2.10.4  h0708190_1           conda-forge/linux-64           890 KB
  + fribidi                             1.0.10  h36c2ea0_0           conda-forge/linux-64           112 KB
  + gcc_impl_linux-64                    9.4.0  h03d3576_8           conda-forge/linux-64            46 MB
  + gcc_linux-64                         9.4.0  h391b98a_1           conda-forge/linux-64            24 KB
  + gettext                           0.19.8.1  h73d1719_1006        conda-forge/linux-64             4 MB
  + gfortran_impl_linux-64               9.4.0  h0003116_8           conda-forge/linux-64            10 MB
  + gfortran_linux-64                    9.4.0  hf0ab688_1           conda-forge/linux-64            23 KB
  + gmp                                  6.2.1  h58526e2_0           conda-forge/linux-64           806 KB
  + graphite2                           1.3.13  h58526e2_1001        conda-forge/linux-64           102 KB
  + gsl                                    2.6  he838d99_2           conda-forge/linux-64             3 MB
  + gxx_impl_linux-64                    9.4.0  h03d3576_8           conda-forge/linux-64            11 MB
  + gxx_linux-64                         9.4.0  h0316aca_1           conda-forge/linux-64            23 KB
  + harfbuzz                             2.9.1  h83ec7ef_0           conda-forge/linux-64             2 MB
  + icu                                   68.1  h58526e2_0           conda-forge/linux-64           Cached
  + jbig                                   2.1  h7f98852_2003        conda-forge/linux-64            43 KB
  + jpeg                                    9d  h36c2ea0_0           conda-forge/linux-64           264 KB
  + kernel-headers_linux-64             2.6.32  he073ed8_14          conda-forge/noarch             708 KB
  + krb5                                1.19.2  hcc1bbae_0           conda-forge/linux-64           Cached
  + ld_impl_linux-64                    2.36.1  hea4e1c9_2           conda-forge/linux-64           Cached
  + lerc                                 2.2.1  h9c3ff4c_0           conda-forge/linux-64           213 KB
  + libblas                              3.9.0  11_linux64_openblas  conda-forge/linux-64            12 KB
  + libcblas                             3.9.0  11_linux64_openblas  conda-forge/linux-64            11 KB
  + libcurl                             7.79.0  h2574ce0_0           conda-forge/linux-64           Cached
  + libdeflate                             1.7  h7f98852_5           conda-forge/linux-64            67 KB
  + libedit                       3.1.20191231  he28a2e2_2           conda-forge/linux-64           Cached
  + libev                                 4.33  h516909a_1           conda-forge/linux-64           Cached
  + libffi                               3.4.2  h9c3ff4c_1           conda-forge/linux-64           Cached
  + libgcc-devel_linux-64                9.4.0  hd854feb_8           conda-forge/linux-64             4 MB
  + libgcc-ng                           11.2.0  h1d223b6_8           conda-forge/linux-64           Cached
  + libgfortran-ng                      11.2.0  h69a702a_8           conda-forge/linux-64            19 KB
  + libgfortran5                        11.2.0  h5c6108e_8           conda-forge/linux-64             2 MB
  + libglib                             2.68.4  h174f98d_1           conda-forge/linux-64             3 MB
  + libgomp                             11.2.0  h1d223b6_8           conda-forge/linux-64           Cached
  + libiconv                              1.16  h516909a_0           conda-forge/linux-64           Cached
  + liblapack                            3.9.0  11_linux64_openblas  conda-forge/linux-64            11 KB
  + libnghttp2                          1.43.0  h812cca2_0           conda-forge/linux-64           Cached
  + libopenblas                         0.3.17  pthreads_h8fe5266_1  conda-forge/linux-64             9 MB
  + libpng                              1.6.37  h21135ba_2           conda-forge/linux-64           306 KB
  + libsanitizer                         9.4.0  h79bfe98_8           conda-forge/linux-64             7 MB
  + libssh2                             1.10.0  ha56f1ee_0           conda-forge/linux-64           Cached
  + libstdcxx-devel_linux-64             9.4.0  hd854feb_8           conda-forge/linux-64            10 MB
  + libstdcxx-ng                        11.2.0  he4da1e4_8           conda-forge/linux-64           Cached
  + libtiff                              4.3.0  hf544144_1           conda-forge/linux-64           668 KB
  + libuuid                             2.32.1  h7f98852_1000        conda-forge/linux-64            28 KB
  + libwebp-base                         1.2.1  h7f98852_0           conda-forge/linux-64           845 KB
  + libxcb                                1.13  h7f98852_1003        conda-forge/linux-64           395 KB
  + libxml2                             2.9.12  h72842e0_0           conda-forge/linux-64           Cached
  + lz4-c                                1.9.3  h9c3ff4c_1           conda-forge/linux-64           Cached
  + make                                   4.3  hd18ef5c_1           conda-forge/linux-64           507 KB
  + ncurses                                6.2  h58526e2_4           conda-forge/linux-64           Cached
  + openssl                             1.1.1l  h7f98852_0           conda-forge/linux-64           Cached
  + pango                              1.48.10  hb8ff022_0           conda-forge/linux-64           398 KB
  + pcre                                  8.45  h9c3ff4c_0           conda-forge/linux-64           253 KB
  + pixman                              0.40.0  h36c2ea0_0           conda-forge/linux-64           627 KB
  + pthread-stubs                          0.4  h36c2ea0_1001        conda-forge/linux-64             5 KB
  + r                                      3.6  r36_1004             conda-forge/noarch              14 KB
  + r-askpass                              1.1  r36hcfec24a_2        conda-forge/linux-64            28 KB
  + r-assertthat                         0.2.1  r36h6115d3f_2        conda-forge/noarch              70 KB
  + r-backports                          1.2.1  r36hcfec24a_0        conda-forge/linux-64            99 KB
  + r-base                               3.6.3  hbcea092_8           conda-forge/linux-64            23 MB
  + r-bh                              1.75.0_0  r36hc72bb7e_0        conda-forge/noarch              11 MB
  + r-biocmanager                      1.30.15  r36hc72bb7e_0        conda-forge/noarch             341 KB
  + r-bit                                4.0.4  r36hcfec24a_0        conda-forge/linux-64           620 KB
  + r-bit64                              4.0.5  r36hcfec24a_0        conda-forge/linux-64           508 KB
  + r-blob                               1.2.1  r36h6115d3f_1        conda-forge/noarch              63 KB
  + r-boot                              1.3_28  r36hc72bb7e_0        conda-forge/noarch             634 KB
  + r-brio                               1.1.2  r36hcfec24a_0        conda-forge/linux-64            38 KB
  + r-cachem                             1.0.5  r36hcfec24a_0        conda-forge/linux-64            72 KB
  + r-callr                              3.7.0  r36hc72bb7e_0        conda-forge/noarch             440 KB
  + r-checkmate                          2.0.0  r36hcdcec82_1        conda-forge/linux-64           658 KB
  + r-class                             7.3_19  r36hcfec24a_0        conda-forge/linux-64           107 KB
  + r-cli                                2.5.0  r36hc72bb7e_0        conda-forge/noarch             533 KB
  + r-cluster                            2.1.2  r36h859d828_0        conda-forge/linux-64           571 KB
  + r-codetools                         0.2_18  r36hc72bb7e_0        conda-forge/noarch             106 KB
  + r-colorspace                         2.0_1  r36hcfec24a_0        conda-forge/linux-64             2 MB
  + r-corpcor                            1.6.9  r36h6115d3f_1003     conda-forge/noarch             130 KB
  + r-cowplot                            1.1.1  r36hc72bb7e_0        conda-forge/noarch               1 MB
  + r-crayon                             1.4.1  r36hc72bb7e_0        conda-forge/noarch             145 KB
  + r-curl                               4.3.1  r36hcfec24a_0        conda-forge/linux-64           778 KB
  + r-data.table                        1.14.0  r36hcfec24a_0        conda-forge/linux-64             2 MB
  + r-dbi                                1.1.1  r36hc72bb7e_0        conda-forge/noarch             643 KB
  + r-desc                               1.3.0  r36hc72bb7e_0        conda-forge/noarch             547 KB
