  Package                                   Version  Build               Channel                                                                   Size
─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Install:
─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────

  + _r-mutex                                  1.0.1  anacondar_1         conda-forge/noarch                                                      Cached
  + bioconductor-annotate                    1.70.0  r41hdfd78af_0       bioconda/noarch                                                           2 MB
  + bioconductor-annotationdbi               1.54.0  r41hdfd78af_0       bioconda/noarch                                                         Cached
  + bioconductor-biobase                     2.52.0  r41h68a2ddb_0       bioconda/osx-64                                                         Cached
  + bioconductor-biocgenerics                0.38.0  r41hdfd78af_0       bioconda/noarch                                                         Cached
  + bioconductor-biocparallel                1.26.0  r41h832b226_0       bioconda/osx-64                                                         Cached
  + bioconductor-biosigner                   1.20.0  r41hdfd78af_0       bioconda/noarch                                                           4 MB
  + bioconductor-biostrings                  2.60.0  r41h68a2ddb_0       bioconda/osx-64                                                         Cached
  + bioconductor-clusterprofiler              4.0.0  r41hdfd78af_0       bioconda/noarch                                                         693 KB
  + bioconductor-delayedarray                0.18.0  r41h68a2ddb_0       bioconda/osx-64                                                         Cached
  + bioconductor-deseq2                      1.32.0  r41h832b226_0       bioconda/osx-64                                                           3 MB
  + bioconductor-do.db                          2.9  0                   bioconda/osx-64                                                           1 MB
  + bioconductor-dose                        3.18.0  r41hdfd78af_0       bioconda/noarch                                                           6 MB
  + bioconductor-enrichplot                  1.12.0  r41hdfd78af_0       bioconda/noarch                                                         277 KB
  + bioconductor-fgsea                       1.18.0  r41h832b226_0       bioconda/osx-64                                                           1 MB
  + bioconductor-genefilter                  1.74.0  r41hcf7da7f_0       bioconda/osx-64                                                           1 MB
  + bioconductor-geneplotter                 1.70.0  r41hdfd78af_0       bioconda/noarch                                                           2 MB
  + bioconductor-genomeinfodb                1.28.0  r41hdfd78af_0       bioconda/noarch                                                         Cached
  + bioconductor-genomeinfodbdata             1.2.6  r41hdfd78af_0       bioconda/noarch                                                         Cached
  + bioconductor-genomicranges               1.44.0  r41h68a2ddb_0       bioconda/osx-64                                                         Cached
  + bioconductor-ggtree                       3.0.1  r41hdfd78af_0       bioconda/noarch                                                         825 KB
  + bioconductor-go.db                       3.13.0  r41hdfd78af_0       bioconda/noarch                                                           8 KB
  + bioconductor-gosemsim                    2.18.0  r41h832b226_0       bioconda/osx-64                                                         909 KB
  + bioconductor-graph                       1.70.0  r41h68a2ddb_0       bioconda/osx-64                                                         Cached
  + bioconductor-graphite                    1.38.0  r41hdfd78af_0       bioconda/noarch                                                         Cached
  + bioconductor-iranges                     2.26.0  r41h68a2ddb_0       bioconda/osx-64                                                         Cached
  + bioconductor-keggrest                    1.32.0  r41hdfd78af_0       bioconda/noarch                                                         Cached
  + bioconductor-limma                       3.48.0  r41h68a2ddb_0       bioconda/osx-64                                                         Cached
  + bioconductor-matrixgenerics               1.4.0  r41hdfd78af_0       bioconda/noarch                                                         Cached
  + bioconductor-mixomics                    6.16.0  r41hdfd78af_0       bioconda/noarch                                                         Cached
  + bioconductor-multidataset                1.20.0  r41hdfd78af_0       bioconda/noarch                                                         895 KB
  + bioconductor-multisight                   1.0.0  r41hdfd78af_0       /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/tmpslizgje4/noarch       3 MB
  + bioconductor-qvalue                      2.24.0  r41hdfd78af_0       bioconda/noarch                                                           3 MB
  + bioconductor-reactome.db                 1.76.0  r41hdfd78af_0       bioconda/noarch                                                           8 KB
  + bioconductor-reactomepa                  1.36.0  r41hdfd78af_0       bioconda/noarch                                                         109 KB
  + bioconductor-ropls                       1.24.0  r41hdfd78af_0       bioconda/noarch                                                           3 MB
  + bioconductor-rwikipathways               1.12.0  r41hdfd78af_0       bioconda/noarch                                                           3 MB
  + bioconductor-s4vectors                   0.30.0  r41h68a2ddb_0       bioconda/osx-64                                                         Cached
  + bioconductor-summarizedexperiment        1.22.0  r41hdfd78af_0       bioconda/noarch                                                         Cached
  + bioconductor-treeio                      1.16.1  r41hdfd78af_0       bioconda/noarch                                                         802 KB
  + bioconductor-xvector                     0.32.0  r41h68a2ddb_0       bioconda/osx-64                                                         Cached
  + bioconductor-zlibbioc                    1.38.0  r41h68a2ddb_0       bioconda/osx-64                                                         Cached
  + bwidget                                  1.9.14  h694c41f_0          conda-forge/osx-64                                                      Cached
  + bzip2                                     1.0.8  h0d85af4_4          conda-forge/osx-64                                                      Cached
  + c-ares                                   1.17.2  h0d85af4_0          conda-forge/osx-64                                                      Cached
  + ca-certificates                       2021.5.30  h033912b_0          conda-forge/osx-64                                                      Cached
  + cairo                                    1.16.0  he43a7df_1008       conda-forge/osx-64                                                      Cached
  + cctools_osx-64                          973.0.1  h3e07e27_1          conda-forge/osx-64                                                      Cached
  + clang                                    12.0.1  h694c41f_3          conda-forge/osx-64                                                      Cached
  + clang-12                                 12.0.1  default_he082bbe_3  conda-forge/osx-64                                                      Cached
  + clang_osx-64                             12.0.1  hb91bd55_1          conda-forge/osx-64                                                      Cached
  + clangxx                                  12.0.1  default_he082bbe_3  conda-forge/osx-64                                                      Cached
  + clangxx_osx-64                           12.0.1  h7e1b574_1          conda-forge/osx-64                                                      Cached
  + compiler-rt                              12.0.1  he01351e_0          conda-forge/osx-64                                                      Cached
  + compiler-rt_osx-64                       12.0.1  hd3f61c9_0          conda-forge/noarch                                                      Cached
  + curl                                     7.78.0  hb861fe1_0          conda-forge/osx-64                                                      Cached
  + font-ttf-dejavu-sans-mono                  2.37  hab24e00_0          conda-forge/noarch                                                      Cached
  + font-ttf-inconsolata                      3.000  h77eed37_0          conda-forge/noarch                                                      Cached
  + font-ttf-source-code-pro                  2.038  h77eed37_0          conda-forge/noarch                                                      Cached
  + font-ttf-ubuntu                            0.83  hab24e00_0          conda-forge/noarch                                                      Cached
  + fontconfig                               2.13.1  h10f422b_1005       conda-forge/osx-64                                                      Cached
  + fonts-conda-ecosystem                         1  0                   conda-forge/noarch                                                      Cached
  + fonts-conda-forge                             1  0                   conda-forge/noarch                                                      Cached
  + freetype                                 2.10.4  h4cff582_1          conda-forge/osx-64                                                      Cached
  + fribidi                                  1.0.10  hbcb3906_0          conda-forge/osx-64                                                      Cached
  + gettext                                0.19.8.1  h7937167_1005       conda-forge/osx-64                                                      Cached
  + gfortran_impl_osx-64                      9.3.0  h9cc0e5e_23         conda-forge/osx-64                                                      Cached
  + gfortran_osx-64                           9.3.0  h18f7dce_14         conda-forge/osx-64                                                      Cached
  + gmp                                       6.2.1  h2e338ed_0          conda-forge/osx-64                                                      Cached
  + graphite2                                1.3.13  h2e338ed_1001       conda-forge/osx-64                                                      Cached
  + gsl                                         2.7  h93259b0_0          conda-forge/osx-64                                                      Cached
  + harfbuzz                                  2.9.1  h159f659_0          conda-forge/osx-64                                                      Cached
  + icu                                        68.1  h74dc148_0          conda-forge/osx-64                                                      Cached
  + isl                                      0.22.1  hb1e8313_2          conda-forge/osx-64                                                      Cached
  + jbig                                        2.1  h0d85af4_2003       conda-forge/osx-64                                                      Cached
  + jpeg                                         9d  hbcb3906_0          conda-forge/osx-64                                                      Cached
  + krb5                                     1.19.2  hcfbf3a7_0          conda-forge/osx-64                                                      Cached
  + ld64_osx-64                                 609  h2487922_1          conda-forge/osx-64                                                      Cached
  + ldid                                      2.1.2  h7660a38_2          conda-forge/osx-64                                                      Cached
  + lerc                                      2.2.1  h046ec9c_0          conda-forge/osx-64                                                      Cached
  + libblas                                   3.9.0  11_osx64_openblas   conda-forge/osx-64                                                      Cached
  + libcblas                                  3.9.0  11_osx64_openblas   conda-forge/osx-64                                                      Cached
  + libclang-cpp12                           12.0.1  default_he082bbe_3  conda-forge/osx-64                                                      Cached
  + libcurl                                  7.78.0  hf45b732_0          conda-forge/osx-64                                                      Cached
  + libcxx                                   12.0.1  habf9029_0          conda-forge/osx-64                                                      Cached
  + libdeflate                                  1.7  h35c211d_5          conda-forge/osx-64                                                      Cached
  + libedit                            3.1.20191231  h0678c8f_2          conda-forge/osx-64                                                      Cached
  + libev                                      4.33  haf1e3a3_1          conda-forge/osx-64                                                      Cached
  + libffi                                      3.3  h046ec9c_2          conda-forge/osx-64                                                      Cached
  + libgfortran                               5.0.0  9_3_0_h6c81a4c_23   conda-forge/osx-64                                                      Cached
  + libgfortran-devel_osx-64                  9.3.0  h6c81a4c_23         conda-forge/noarch                                                      Cached
  + libgfortran5                              9.3.0  h6c81a4c_23         conda-forge/osx-64                                                      Cached
  + libgit2                                   1.2.0  h14631ed_0          conda-forge/osx-64                                                      627 KB
  + libglib                                  2.68.4  hd556434_0          conda-forge/osx-64                                                      Cached
  + libiconv                                   1.16  haf1e3a3_0          conda-forge/osx-64                                                      Cached
  + liblapack                                 3.9.0  11_osx64_openblas   conda-forge/osx-64                                                      Cached
  + libllvm12                                12.0.1  hd011deb_2          conda-forge/osx-64                                                      Cached
  + libnghttp2                               1.43.0  h07e645a_0          conda-forge/osx-64                                                      Cached
  + libopenblas                              0.3.17  openmp_h3351f45_1   conda-forge/osx-64                                                      Cached
  + libpng                                   1.6.37  h7cec526_2          conda-forge/osx-64                                                      Cached
  + libssh2                                  1.10.0  h52ee1ee_0          conda-forge/osx-64                                                      Cached
  + libtiff                                   4.3.0  h1167814_1          conda-forge/osx-64                                                      Cached
  + libwebp-base                              1.2.1  h0d85af4_0          conda-forge/osx-64                                                      Cached
  + libxml2                                  2.9.12  h93ec3fd_0          conda-forge/osx-64                                                      Cached
  + llvm-openmp                              12.0.1  hda6cdc1_1          conda-forge/osx-64                                                      Cached
  + llvm-tools                               12.0.1  hd011deb_2          conda-forge/osx-64                                                      Cached
  + lz4-c                                     1.9.3  he49afe7_1          conda-forge/osx-64                                                      Cached
