  Package                               Version  Build                   Channel                                                                   Size
─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Install:
─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────

  + aiohttp                         3.7.4.post0  py39h89e85a6_0          conda-forge/osx-64                                                      596 KB
  + ansiwrap                              0.8.4  py_0                    conda-forge/noarch                                                        9 KB
  + appnope                               0.1.2  py39h6e9494a_1          conda-forge/osx-64                                                       10 KB
  + apsw                              3.36.0.r1  py39h06734b0_0          conda-forge/osx-64                                                       93 KB
  + asciitree                             0.3.3  py_2                    conda-forge/noarch                                                        6 KB
  + async-timeout                         3.0.1  py_1000                 conda-forge/noarch                                                       11 KB
  + async_generator                        1.10  py_0                    conda-forge/noarch                                                       18 KB
  + attrs                                21.2.0  pyhd8ed1ab_0            conda-forge/noarch                                                      Cached
  + backcall                              0.2.0  pyh9f0ad1d_0            conda-forge/noarch                                                       13 KB
  + backports                               1.0  py_2                    conda-forge/noarch                                                      Cached
  + backports.functools_lru_cache         1.6.4  pyhd8ed1ab_0            conda-forge/noarch                                                      Cached
  + bcrypt                                3.2.0  py39h89e85a6_1          conda-forge/osx-64                                                       42 KB
  + bedtools                             2.30.0  haa7f73a_2              bioconda/osx-64                                                         807 KB
  + biopython                              1.79  py39h89e85a6_0          conda-forge/osx-64                                                        3 MB
  + black                                21.9b0  pyhd8ed1ab_0            conda-forge/noarch                                                      116 KB
  + bleach                                4.1.0  pyhd8ed1ab_0            conda-forge/noarch                                                      121 KB
  + bokeh                                 2.4.0  py39h6e9494a_0          conda-forge/osx-64                                                       14 MB
  + boto3                               1.18.45  pyhd8ed1ab_0            conda-forge/noarch                                                       71 KB
  + botocore                            1.21.46  pyhd8ed1ab_0            conda-forge/noarch                                                        5 MB
  + bowtie2                               2.4.4  py39h8538cfa_0          bioconda/osx-64                                                           1 MB
  + brotlipy                              0.7.0  py39h89e85a6_1001       conda-forge/osx-64                                                      Cached
  + bzip2                                 1.0.8  h0d85af4_4              conda-forge/osx-64                                                      Cached
  + c-ares                               1.17.2  h0d85af4_0              conda-forge/osx-64                                                      Cached
  + ca-certificates                   2021.5.30  h033912b_0              conda-forge/osx-64                                                      Cached
  + cached-property                       1.5.2  hd8ed1ab_1              conda-forge/noarch                                                        4 KB
  + cached_property                       1.5.2  pyha770c72_1            conda-forge/noarch                                                       11 KB
  + cachetools                            4.2.2  pyhd8ed1ab_0            conda-forge/noarch                                                       12 KB
  + capcruncher                         0.1.1a1  pyh5e36f6f_0            /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/tmphmm4m5fj/noarch      92 KB
  + certifi                           2021.5.30  py39h6e9494a_0          conda-forge/osx-64                                                      Cached
  + cffi                                 1.14.6  py39he338e87_1          conda-forge/osx-64                                                      Cached
  + cgatcore                              0.6.7  py_0                    bioconda/noarch                                                          93 KB
  + chardet                               4.0.0  py39h6e9494a_1          conda-forge/osx-64                                                      Cached
  + charset-normalizer                    2.0.0  pyhd8ed1ab_0            conda-forge/noarch                                                      Cached
  + click                                 8.0.1  py39h6e9494a_0          conda-forge/osx-64                                                      146 KB
  + cloudpickle                           2.0.0  pyhd8ed1ab_0            conda-forge/noarch                                                       24 KB
  + colorama                              0.4.4  pyh9f0ad1d_0            conda-forge/noarch                                                      Cached
  + coloredlogs                          15.0.1  py39h6e9494a_1          conda-forge/osx-64                                                       63 KB
  + colormath                             3.0.0  py_2                    conda-forge/noarch                                                       34 KB
  + commonmark                            0.9.1  py_0                    conda-forge/noarch                                                      Cached
  + cooler                                0.8.6  py_0                    bioconda/noarch                                                          71 KB
  + coreutils                              8.31  h0b31af3_0              conda-forge/osx-64                                                      Cached
  + cryptography                          3.4.7  py39ha2c9959_0          conda-forge/osx-64                                                      Cached
  + cutadapt                                3.4  py39ha492530_1          bioconda/osx-64                                                         177 KB
  + cycler                               0.10.0  py_2                    conda-forge/noarch                                                        9 KB
  + cytoolz                              0.11.0  py39h89e85a6_3          conda-forge/osx-64                                                      351 KB
  + dask                               2021.9.1  pyhd8ed1ab_0            conda-forge/noarch                                                        4 KB
  + dask-core                          2021.9.1  pyhd8ed1ab_0            conda-forge/noarch                                                      768 KB
  + dataclasses                             0.8  pyhc8e2a94_3            conda-forge/noarch                                                      Cached
  + debugpy                               1.4.1  py39h9fcab8e_0          conda-forge/osx-64                                                        2 MB
  + decorator                             4.4.2  py_0                    conda-forge/noarch                                                       11 KB
  + defusedxml                            0.7.1  pyhd8ed1ab_0            conda-forge/noarch                                                       23 KB
  + dill                                  0.3.4  pyhd8ed1ab_0            conda-forge/noarch                                                       62 KB
  + distributed                        2021.9.1  py39h6e9494a_0          conda-forge/osx-64                                                        1 MB
  + dnaio                                 0.5.2  py39ha492530_0          bioconda/osx-64                                                         113 KB
  + docutils                             0.17.1  py39h6e9494a_0          conda-forge/osx-64                                                      761 KB
  + drmaa                                 0.7.9  py_1000                 conda-forge/noarch                                                       18 KB
  + entrypoints                             0.3  py39hde42818_1002       conda-forge/osx-64                                                       11 KB
  + fastqc                               0.11.9  hdfd78af_1              bioconda/noarch                                                          10 MB
  + flash                                1.2.11  h5dbffcc_0              conda-forge/osx-64                                                       41 KB
  + font-ttf-dejavu-sans-mono              2.37  hab24e00_0              conda-forge/noarch                                                      Cached
  + fontconfig                           2.13.1  h10f422b_1005           conda-forge/osx-64                                                      Cached
  + freetype                             2.10.4  h4cff582_1              conda-forge/osx-64                                                      Cached
  + fsspec                             2021.8.1  pyhd8ed1ab_0            conda-forge/noarch                                                       82 KB
  + ftputil                               5.0.1  pyhd8ed1ab_0            conda-forge/noarch                                                       76 KB
  + future                               0.18.2  py39h6e9494a_3          conda-forge/osx-64                                                      Cached
  + gevent                               21.8.0  py39h89e85a6_0          conda-forge/osx-64                                                        2 MB
  + google-api-core                       2.0.1  pyhd8ed1ab_0            conda-forge/noarch                                                       58 KB
  + google-auth                           2.0.2  pyh6c4a22f_0            conda-forge/noarch                                                       81 KB
  + google-cloud-core                     2.0.0  pyh6c4a22f_0            conda-forge/noarch                                                       26 KB
  + google-cloud-sdk                    358.0.0  py39h6e9494a_0          conda-forge/osx-64                                                       96 MB
  + google-cloud-storage                 1.42.0  pyh6c4a22f_0            conda-forge/noarch                                                       73 KB
  + google-crc32c                         1.1.2  py39ha7afe54_0          conda-forge/osx-64                                                       22 KB
  + google-resumable-media                2.0.2  pyh6c4a22f_0            conda-forge/noarch                                                       41 KB
  + googleapis-common-protos             1.53.0  py39h6e9494a_0          conda-forge/osx-64                                                      124 KB
  + greenlet                              1.1.1  py39h9fcab8e_0          conda-forge/osx-64                                                       79 KB
  + grpcio                               1.38.1  py39hb974310_0          conda-forge/osx-64                                                        2 MB
  + h5py                                  3.4.0  nompi_py39hbc6cb89_101  conda-forge/osx-64                                                        1 MB
  + hdf5                                 1.12.1  nompi_h2f0ef1a_100      conda-forge/osx-64                                                        4 MB
  + heapdict                              1.0.1  py_0                    conda-forge/noarch                                                        7 KB
  + htslib                                 1.13  hc38c3fb_0              bioconda/osx-64                                                           2 MB
  + humanfriendly                           9.2  py39h6e9494a_1          conda-forge/osx-64                                                      118 KB
  + iced                                 0.5.10  py39hdd6a155_0          bioconda/osx-64                                                           2 MB
  + icu                                    68.1  h74dc148_0              conda-forge/osx-64                                                      Cached
  + idna                                    3.1  pyhd3deb0d_0            conda-forge/noarch                                                      Cached
  + importlib-metadata                    4.8.1  py39h6e9494a_0          conda-forge/osx-64                                                      Cached
  + ipykernel                             6.4.1  py39h71a6800_0          conda-forge/osx-64                                                      174 KB
  + ipython                              7.27.0  py39h71a6800_0          conda-forge/osx-64                                                        1 MB
  + ipython_genutils                      0.2.0  py_1                    conda-forge/noarch                                                       21 KB
  + isa-l                                2.30.0  h0d85af4_4              conda-forge/osx-64                                                      174 KB
  + jedi                                 0.18.0  py39h6e9494a_2          conda-forge/osx-64                                                      932 KB
  + jinja2                                3.0.1  pyhd8ed1ab_0            conda-forge/noarch                                                      Cached
  + jmespath                             0.10.0  pyh9f0ad1d_0            conda-forge/noarch                                                       21 KB
  + joblib                                1.0.1  pyhd8ed1ab_0            conda-forge/noarch                                                      Cached
  + jpeg                                     9d  hbcb3906_0              conda-forge/osx-64                                                      Cached
  + jsonschema                            3.2.0  pyhd8ed1ab_3            conda-forge/noarch                                                      Cached
  + jupyter_client                        7.0.3  pyhd8ed1ab_0            conda-forge/noarch                                                       86 KB
  + jupyter_core                          4.8.1  py39h6e9494a_0          conda-forge/osx-64                                                       79 KB
  + jupyterlab_pygments                   0.1.2  pyh9f0ad1d_0            conda-forge/noarch                                                        8 KB
  + kiwisolver                            1.3.2  py39hf018cea_0          conda-forge/osx-64                                                       59 KB
  + krb5                                 1.19.2  hcfbf3a7_0              conda-forge/osx-64                                                      Cached
  + lcms2                                  2.12  h577c468_0              conda-forge/osx-64                                                      404 KB
  + libblas                               3.9.0  11_osx64_openblas       conda-forge/osx-64                                                      Cached
  + libcblas                              3.9.0  11_osx64_openblas       conda-forge/osx-64                                                      Cached
  + libcrc32c                             1.1.1  h1c7c35f_2              conda-forge/osx-64                                                       20 KB
  + libcurl                              7.79.1  hf45b732_0              conda-forge/osx-64                                                      Cached
  + libcxx                               12.0.1  habf9029_0              conda-forge/osx-64                                                      Cached
  + libdeflate                              1.7  h35c211d_5              conda-forge/osx-64                                                      Cached
  + libedit                        3.1.20191231  h0678c8f_2              conda-forge/osx-64                                                      Cached
  + libev                                  4.33  haf1e3a3_1              conda-forge/osx-64                                                      Cached
  + libffi                                3.4.2  he49afe7_3              conda-forge/osx-64                                                      Cached
  + libgfortran                           5.0.0  9_3_0_h6c81a4c_23       conda-forge/osx-64                                                      Cached
