  Package                              Version  Build                    Channel                                                                    Size
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Install:
──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────

  + _r-mutex                             1.0.1  anacondar_1              conda-forge/noarch                                                         3 KB
  + augustus                             3.2.3  pl526hcfae127_5          bioconda/osx-64                                                           33 MB
  + bamtools                             2.4.1  1                        bioconda/osx-64                                                          691 KB
  + biopython                             1.78  py37h271585c_2           conda-forge/osx-64                                                         3 MB
  + blas                                   1.1  openblas                 conda-forge/osx-64                                                         1 KB
  + blast                               2.2.31  boost1.60_2              bioconda/osx-64                                                          226 MB
  + boost                               1.67.0  py37_4                   pkgs/main/osx-64                                                          11 KB
  + boost-cpp                           1.69.0  h6f8c590_1000            conda-forge/osx-64                                                        19 MB
  + busco                                4.0.6  pyr36_0                  bioconda/noarch                                                           57 KB
  + bwidget                             1.9.14  h694c41f_0               conda-forge/osx-64                                                       119 KB
  + bzip2                                1.0.8  h0d85af4_4               conda-forge/osx-64                                                       Cached
  + ca-certificates                  2021.5.30  h033912b_0               conda-forge/osx-64                                                       Cached
  + cairo                               1.16.0  h0ab9d94_1001            conda-forge/osx-64                                                         1 MB
  + cctools_osx-64                     973.0.1  h3e07e27_1               conda-forge/osx-64                                                         2 MB
  + certifi                          2021.5.30  py37hf985489_0           conda-forge/osx-64                                                       141 KB
  + chardet                              4.0.0  py37hf985489_1           conda-forge/osx-64                                                       198 KB
  + clang                               12.0.1  h694c41f_3               conda-forge/osx-64                                                       124 KB
  + clang-12                            12.0.1  default_he082bbe_3       conda-forge/osx-64                                                       700 KB
  + clang_osx-64                        12.0.1  hb91bd55_1               conda-forge/osx-64                                                        16 KB
  + clangxx                             12.0.1  default_he082bbe_3       conda-forge/osx-64                                                       125 KB
  + clangxx_osx-64                      12.0.1  h7e1b574_1               conda-forge/osx-64                                                        15 KB
  + compiler-rt                         12.0.1  he01351e_0               conda-forge/osx-64                                                        80 KB
  + compiler-rt_osx-64                  12.0.1  hd3f61c9_0               conda-forge/noarch                                                         6 MB
  + curl                                7.68.0  h8754def_0               conda-forge/osx-64                                                       130 KB
  + cycler                              0.10.0  py_2                     conda-forge/noarch                                                         9 KB
  + dendropy                             4.5.2  pyh3252c3a_0             bioconda/noarch                                                          308 KB
  + diamond                             0.9.24  ha87ae23_0               bioconda/osx-64                                                          493 KB
  + eukulele                             1.0.6  pyh723bec7_0             /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/tmpva1zazqf/noarch       44 KB
  + findutils                            4.6.0  h1de35cc_1000            conda-forge/osx-64                                                       697 KB
  + fontconfig                          2.13.1  h10f422b_1005            conda-forge/osx-64                                                       271 KB
  + freetype                            2.10.4  h4cff582_1               conda-forge/osx-64                                                       890 KB
  + fribidi                             1.0.10  hbcb3906_0               conda-forge/osx-64                                                        64 KB
  + gettext                           0.19.8.1  haf92f58_1004            conda-forge/osx-64                                                         3 MB
  + gfortran_osx-64                      4.8.5  h22b1bf0_8               conda-forge/osx-64                                                         7 MB
  + glib                                2.66.3  h519c658_0               conda-forge/osx-64                                                       491 KB
  + gmp                                  6.2.1  h2e338ed_0               conda-forge/osx-64                                                       774 KB
  + graphite2                           1.3.13  h2e338ed_1001            conda-forge/osx-64                                                        85 KB
  + gsl                                  2.2.1  blas_openblash47a8a8e_5  conda-forge/osx-64                                                         2 MB
  + harfbuzz                             2.4.0  h92b87b8_1               conda-forge/osx-64                                                         1 MB
  + hmmer                                3.1b2  3                        bioconda/osx-64                                                            6 MB
  + icu                                   58.2  h0a44026_1000            conda-forge/osx-64                                                        22 MB
  + jbig                                   2.1  h0d85af4_2003            conda-forge/osx-64                                                        42 KB
  + joblib                               1.0.1  pyhd8ed1ab_0             conda-forge/noarch                                                       Cached
  + jpeg                                    9d  hbcb3906_0               conda-forge/osx-64                                                       250 KB
  + kiwisolver                           1.3.2  py37h737db71_0           conda-forge/osx-64                                                        57 KB
  + krb5                                1.16.4  h1752a42_0               conda-forge/osx-64                                                         1 MB
  + lcms2                                 2.12  h577c468_0               conda-forge/osx-64                                                       404 KB
  + ld64_osx-64                            609  h2487922_1               conda-forge/osx-64                                                         1 MB
  + ldid                                 2.1.2  h7660a38_2               conda-forge/osx-64                                                        55 KB
  + lerc                                 2.2.1  h046ec9c_0               conda-forge/osx-64                                                       164 KB
  + libblas                              3.8.0  17_openblas              conda-forge/osx-64                                                        11 KB
  + libboost                            1.67.0  hebc422b_4               pkgs/main/osx-64                                                          13 MB
  + libcblas                             3.8.0  17_openblas              conda-forge/osx-64                                                        11 KB
  + libclang-cpp12                      12.0.1  default_he082bbe_3       conda-forge/osx-64                                                        13 MB
  + libcurl                             7.68.0  h709d2b2_0               conda-forge/osx-64                                                       527 KB
  + libcxx                              12.0.1  habf9029_0               conda-forge/osx-64                                                       Cached
  + libdeflate                             1.7  h35c211d_5               conda-forge/osx-64                                                        67 KB
  + libedit                       3.1.20191231  h0678c8f_2               conda-forge/osx-64                                                       Cached
  + libffi                               3.2.1  hb1e8313_1007            conda-forge/osx-64                                                        42 KB
  + libgfortran                          3.0.1  0                        conda-forge/osx-64                                                       495 KB
  + libglib                             2.66.3  h2575888_0               conda-forge/osx-64                                                         3 MB
  + libiconv                              1.16  haf1e3a3_0               conda-forge/osx-64                                                       Cached
  + liblapack                            3.8.0  17_openblas              conda-forge/osx-64                                                        11 KB
  + libllvm12                           12.0.1  hd011deb_2               conda-forge/osx-64                                                        24 MB
  + libopenblas                         0.3.10  h0794777_0               pkgs/main/osx-64                                                           5 MB
  + libpng                              1.6.37  h7cec526_2               conda-forge/osx-64                                                       313 KB
  + libssh2                             1.10.0  h52ee1ee_0               conda-forge/osx-64                                                       Cached
  + libtiff                              4.3.0  h1167814_1               conda-forge/osx-64                                                       621 KB
  + libwebp-base                         1.2.1  h0d85af4_0               conda-forge/osx-64                                                       692 KB
  + libxml2                             2.9.12  hcdb78fc_0               pkgs/main/osx-64                                                           1 MB
  + llvm-openmp                         12.0.1  hda6cdc1_1               conda-forge/osx-64                                                       287 KB
  + llvm-tools                          12.0.1  hd011deb_2               conda-forge/osx-64                                                        12 MB
  + lp_solve                           5.5.2.5  h1de35cc_1001            conda-forge/osx-64                                                       391 KB
  + lz4-c                                1.9.3  he49afe7_1               conda-forge/osx-64                                                       Cached
  + make                                   4.3  h22f3db7_1               conda-forge/osx-64                                                       249 KB
  + matplotlib-base                      3.3.3  py37hef07623_0           conda-forge/osx-64                                                         7 MB
  + metis                                5.1.0  h2e338ed_1006            conda-forge/osx-64                                                         4 MB
  + mpfr                                 4.1.0  h0f52abe_1               conda-forge/osx-64                                                       400 KB
  + ncurses                                6.2  h2e338ed_4               conda-forge/osx-64                                                       Cached
  + numpy                               1.19.5  py37h84c02c4_2           conda-forge/osx-64                                                         5 MB
  + olefile                               0.46  pyh9f0ad1d_1             conda-forge/noarch                                                        32 KB
  + openblas                            0.2.20  8                        conda-forge/osx-64                                                        20 MB
  + openjdk                           11.0.9.1  hcf210ce_1               conda-forge/osx-64                                                       Cached
  + openjpeg                             2.4.0  h6e7aa92_1               conda-forge/osx-64                                                       374 KB
  + openssl                             1.1.1l  h0d85af4_0               conda-forge/osx-64                                                       Cached
  + pandas                               1.2.0  py37h010c265_1           conda-forge/osx-64                                                        10 MB
  + pango                               1.42.4  haa940fe_4               conda-forge/osx-64                                                       509 KB
  + pcre                                  8.45  he49afe7_0               conda-forge/osx-64                                                       220 KB
  + perl                                5.26.2  hbcb3906_1008            conda-forge/osx-64                                                        14 MB
  + perl-app-cpanminus                  1.7044  pl526_1                  bioconda/osx-64                                                          235 KB
  + perl-carp                             1.38  pl526_3                  bioconda/osx-64                                                           15 KB
  + perl-constant                         1.33  pl526_1                  bioconda/osx-64                                                           10 KB
  + perl-cpan-meta                    2.150010  pl526_0                  bioconda/osx-64                                                            4 KB
  + perl-cpan-meta-requirements          2.140  pl526_0                  bioconda/osx-64                                                           12 KB
  + perl-cpan-meta-yaml                  0.018  pl526_0                  bioconda/osx-64                                                           12 KB
  + perl-data-dumper                     2.173  pl526_0                  bioconda/osx-64                                                           34 KB
  + perl-dbi                             1.642  pl526_0                  bioconda/osx-64                                                          543 KB
  + perl-encode                           2.88  pl526_1                  bioconda/osx-64                                                            1 MB
  + perl-exporter                         5.72  pl526_1                  bioconda/osx-64                                                           13 KB
  + perl-extutils-cbuilder            0.280230  pl526_1                  bioconda/osx-64                                                           21 KB
  + perl-extutils-makemaker               7.36  pl526_1                  bioconda/osx-64                                                          153 KB
  + perl-extutils-manifest                1.72  pl526_0                  bioconda/osx-64                                                           13 KB
  + perl-extutils-parsexs                 3.35  pl526_0                  bioconda/osx-64                                                           39 KB
  + perl-file-path                        2.16  pl526_0                  bioconda/osx-64                                                           17 KB
  + perl-file-temp                      0.2304  pl526_2                  bioconda/osx-64                                                           26 KB
  + perl-getopt-long                      2.50  pl526_1                  bioconda/osx-64                                                           27 KB
  + perl-ipc-cmd                          1.02  pl526_0                  bioconda/osx-64                                                           22 KB
  + perl-json-pp                          4.04  pl526_0                  bioconda/noarch                                                           30 KB
  + perl-locale-maketext-simple           0.21  pl526_2                  bioconda/osx-64                                                            9 KB
  + perl-module-build                   0.4224  pl526_3                  bioconda/osx-64                                                          126 KB
  + perl-module-corelist            5.20190524  pl526_0                  bioconda/osx-64                                                           57 KB
  + perl-module-load                      0.32  pl526_1                  bioconda/osx-64                                                            4 KB
  + perl-module-load-conditional          0.68  pl526_2                  bioconda/osx-64                                                           10 KB
  + perl-module-metadata              1.000036  pl526_0                  bioconda/osx-64                                                           15 KB
  + perl-params-check                     0.38  pl526_1                  bioconda/osx-64                                                            4 KB
