  Package                           Version  Build                  Channel                        Size
─────────────────────────────────────────────────────────────────────────────────────────────────────────
  Install:
─────────────────────────────────────────────────────────────────────────────────────────────────────────

  + _libgcc_mutex                       0.1  conda_forge            conda-forge/linux-64         Cached
  + _openmp_mutex                       4.5  1_gnu                  conda-forge/linux-64         Cached
  + bamtools                          2.5.1  h9a82719_9             bioconda/linux-64           1012 KB
  + bcftools                            1.9  h68d8f2e_9             bioconda/linux-64            682 KB
  + beautifulsoup4                    4.9.3  pyhb0f4dca_0           conda-forge/noarch            86 KB
  + bedops                           2.4.39  h7d875b9_1             bioconda/linux-64             10 MB
  + bedtools                         2.30.0  h7d7f7ad_2             bioconda/linux-64             18 MB
  + bioawk                              1.0  h5bf99c6_6             bioconda/linux-64            188 KB
  + bioconvert                        0.4.3  py_0                   bioconda/noarch                1 MB
  + biopython                          1.72  py36h14c3975_1000      conda-forge/linux-64           2 MB
  + blast                             2.9.0  pl526he19e7b1_7        bioconda/linux-64             19 MB
  + boost-cpp                        1.74.0  h9359b55_0             conda-forge/linux-64          16 MB
  + bowtie2                           2.4.4  py36hd4290be_0         bioconda/linux-64             15 MB
  + brotlipy                          0.7.0  py36h8f6f2f9_1001      conda-forge/linux-64         341 KB
  + bwa                              0.7.17  h5bf99c6_8             bioconda/linux-64            608 KB
  + bzip2                             1.0.8  h7f98852_4             conda-forge/linux-64         Cached
  + c-ares                           1.17.2  h7f98852_0             conda-forge/linux-64         Cached
  + ca-certificates               2021.5.30  ha878542_0             conda-forge/linux-64         Cached
  + certifi                       2021.5.30  py36h5fab9bb_0         conda-forge/linux-64         141 KB
  + cffi                             1.14.4  py36h211aa47_0         conda-forge/linux-64         224 KB
  + cgecore                           1.5.6  pyh3252c3a_0           bioconda/noarch               34 KB
  + chardet                           3.0.4  py36h9880bd3_1008      conda-forge/linux-64         194 KB
  + colorama                          0.4.4  pyh9f0ad1d_0           conda-forge/noarch           Cached
  + colorlog                          6.4.1  py36h5fab9bb_0         conda-forge/linux-64          16 KB
  + cryptography                      3.4.7  py36hb60f036_0         conda-forge/linux-64           1 MB
  + curl                             7.76.1  h979ede3_1             conda-forge/linux-64         149 KB
  + cycler                           0.10.0  py36_0                 conda-forge/linux-64          14 KB
  + dbus                             1.13.6  hfdff14a_1             conda-forge/linux-64         585 KB
  + decorator                         4.4.2  py_0                   conda-forge/noarch            11 KB
  + deeptools                         3.5.1  py_0                   bioconda/noarch              143 KB
  + deeptoolsintervals                0.1.9  py36hc5360cc_3         bioconda/linux-64             74 KB
  + diamond                          0.8.36  h2e03b76_5             bioconda/linux-64            508 KB
  + dsrc                         2015.06.04  hc90279e_3             bioconda/linux-64            143 KB
  + easydev                          0.10.1  pyh9f0ad1d_0           conda-forge/noarch            49 KB
  + entrez-direct                      15.6  he881be0_0             bioconda/linux-64              8 MB
  + expat                             2.4.1  h9c3ff4c_0             conda-forge/linux-64         182 KB
  + filetype                          1.0.7  pyh9f0ad1d_0           conda-forge/noarch            13 KB
  + fontconfig                       2.13.1  hba837de_1005          conda-forge/linux-64         357 KB
  + freetype                         2.10.4  h0708190_1             conda-forge/linux-64         Cached
  + gettext                        0.19.8.1  hf34092f_1004          conda-forge/linux-64           4 MB
  + glib                             2.66.3  h58526e2_0             conda-forge/linux-64         500 KB
  + go                               1.10.3  hfc679d8_3             conda-forge/linux-64           6 KB
  + go-core                          1.10.3  h26a2512_3             conda-forge/linux-64          89 MB
  + go_linux-64                      1.10.3  h0f5337a_3             conda-forge/linux-64           8 MB
  + gsl                                 2.5  h294904e_1             conda-forge/linux-64           3 MB
  + gst-plugins-base                 1.14.5  h0935bb2_2             conda-forge/linux-64           7 MB
  + gstreamer                        1.14.5  h36ae1b5_2             conda-forge/linux-64           4 MB
  + hdf5                             1.10.6  nompi_h6a2412b_1114    conda-forge/linux-64           3 MB
  + hmmer                             3.3.2  h1b792b2_1             bioconda/linux-64             10 MB
  + htslib                              1.9  h4da6232_3             bioconda/linux-64              1 MB
  + icu                                67.1  he1b5a44_0             conda-forge/linux-64          13 MB
  + idna                               2.10  pyh9f0ad1d_0           conda-forge/noarch            52 KB
  + jpeg                                 9d  h36c2ea0_0             conda-forge/linux-64         Cached
  + k8                                0.2.5  h9a82719_1             bioconda/linux-64              2 MB
  + kiwisolver                        1.3.1  py36h605e78d_1         conda-forge/linux-64          78 KB
  + kma                              1.3.23  h5bf99c6_0             bioconda/linux-64            229 KB
  + krb5                             1.17.2  h926e7f8_0             conda-forge/linux-64           1 MB
  + lcms2                              2.12  hddcbb42_0             conda-forge/linux-64         Cached
  + ld_impl_linux-64                 2.36.1  hea4e1c9_2             conda-forge/linux-64         Cached
  + ldc                              1.20.0  h9a1ace1_1             conda-forge/linux-64          37 MB
  + libbigwig                         0.4.6  h1b8c3c0_1             bioconda/linux-64            331 KB
  + libblas                           3.9.0  11_linux64_openblas    conda-forge/linux-64         Cached
  + libcblas                          3.9.0  11_linux64_openblas    conda-forge/linux-64         Cached
  + libclang                         10.0.1  default_hde54327_1     conda-forge/linux-64          26 MB
  + libcurl                          7.76.1  hc4aaa36_1             conda-forge/linux-64         328 KB
  + libdeflate                          1.6  h516909a_0             conda-forge/linux-64          60 KB
  + libedit                    3.1.20191231  h46ee950_2             conda-forge/linux-64         121 KB
  + libev                              4.33  h516909a_1             conda-forge/linux-64         Cached
  + libevent                         2.1.10  hcdb4288_3             conda-forge/linux-64           1 MB
  + libffi                            3.2.1  he1b5a44_1007          conda-forge/linux-64          47 KB
  + libgcc-ng                        11.1.0  hc902ee8_8             conda-forge/linux-64         Cached
  + libgfortran                       3.0.0  1                      conda-forge/linux-64         281 KB
  + libgfortran-ng                   11.1.0  h69a702a_8             conda-forge/linux-64         Cached
  + libgfortran5                     11.1.0  h6c583b3_8             conda-forge/linux-64         Cached
  + libglib                          2.66.3  hbe7bbb4_0             conda-forge/linux-64           3 MB
  + libgomp                          11.1.0  hc902ee8_8             conda-forge/linux-64         Cached
  + libiconv                           1.16  h516909a_0             conda-forge/linux-64         Cached
  + liblapack                         3.9.0  11_linux64_openblas    conda-forge/linux-64         Cached
  + libllvm10                        10.0.1  he513fc3_3             conda-forge/linux-64          26 MB
  + libnghttp2                       1.43.0  h812cca2_0             conda-forge/linux-64         Cached
  + libopenblas                      0.3.17  pthreads_h8fe5266_1    conda-forge/linux-64         Cached
  + libpng                           1.6.37  h21135ba_2             conda-forge/linux-64         Cached
  + libpq                              12.3  h255efa7_3             conda-forge/linux-64           3 MB
  + libssh2                          1.10.0  ha56f1ee_0             conda-forge/linux-64         Cached
  + libstdcxx-ng                     11.1.0  h56837e0_8             conda-forge/linux-64         Cached
  + libtiff                           4.2.0  hbd63e13_2             conda-forge/linux-64         639 KB
  + libuuid                          2.32.1  h7f98852_1000          conda-forge/linux-64          28 KB
  + libwebp-base                      1.2.1  h7f98852_0             conda-forge/linux-64         Cached
  + libxcb                             1.13  h7f98852_1003          conda-forge/linux-64         395 KB
  + libxkbcommon                     0.10.0  he1b5a44_0             conda-forge/linux-64         475 KB
  + libxml2                          2.9.10  h68273f3_2             conda-forge/linux-64           1 MB
  + libxslt                          1.1.33  hf705e74_1             conda-forge/linux-64         540 KB
  + lml                               0.1.0  pyh9f0ad1d_0           conda-forge/noarch            13 KB
  + lxml                              4.6.3  py36h04a5ba7_0         conda-forge/linux-64           2 MB
  + lz4-c                             1.9.3  h9c3ff4c_1             conda-forge/linux-64         Cached
  + mappy                              2.22  py36h30a8e3e_0         bioconda/linux-64            163 KB
  + matplotlib                        3.3.4  py36h5fab9bb_0         conda-forge/linux-64           6 KB
  + matplotlib-base                   3.3.4  py36hd391965_0         conda-forge/linux-64           7 MB
  + mawk                              1.3.4  h779adbc_4             bioconda/linux-64             99 KB
  + megapath-nano                       1.0  hdfd78af_0             /tmp/tmpewazy706/noarch      378 KB
  + minimap2                           2.21  h5bf99c6_0             bioconda/linux-64            479 KB
  + mysql-common                     8.0.25  ha770c72_0             conda-forge/linux-64           2 MB
  + mysql-connector-c                6.1.11  h6eb9d5d_1007          conda-forge/linux-64           3 MB
  + mysql-libs                       8.0.25  h935591d_0             conda-forge/linux-64           2 MB
  + ncbi-amrfinderplus               3.10.5  h17dc2d4_0             bioconda/linux-64            746 KB
  + ncbi-ngs-sdk                     2.11.0  hff44eed_0             bioconda/linux-64            167 KB
  + ncurses                             6.1  hf484d3e_1002          conda-forge/linux-64           1 MB
  + networkx                          2.6.3  pyhd8ed1ab_0           conda-forge/noarch             1 MB
  + nspr                               4.30  h9c3ff4c_0             conda-forge/linux-64         233 KB
  + nss                                3.69  hb5efdd6_0             conda-forge/linux-64           2 MB
  + numpy                            1.19.5  py36hfc0c790_2         conda-forge/linux-64           5 MB
  + olefile                            0.46  pyh9f0ad1d_1           conda-forge/noarch           Cached
  + oligoarrayaux                       3.8  hc9558a2_0             bioconda/linux-64            165 KB
  + openjpeg                          2.4.0  hb52868f_1             conda-forge/linux-64         Cached
  + openssl                          1.1.1l  h7f98852_0             conda-forge/linux-64         Cached
  + ossuuid                           1.6.2  hf484d3e_1000          conda-forge/linux-64          56 KB
  + pandas                            1.1.5  py36h284efc9_0         conda-forge/linux-64          11 MB
  + patsy                             0.5.1  py_0                   conda-forge/noarch           187 KB
  + pbzip2                           1.1.13  0                      conda-forge/linux-64         114 KB
  + pcre                               8.45  h9c3ff4c_0             conda-forge/linux-64         253 KB
  + perl                             5.26.2  h36c2ea0_1008          conda-forge/linux-64          15 MB
  + perl-app-cpanminus               1.7044  pl526_1                bioconda/linux-64            234 KB
  + perl-archive-tar                   2.32  pl526_0                bioconda/linux-64             31 KB
  + perl-business-isbn                3.004  pl526_0                bioconda/linux-64             15 KB
  + perl-business-isbn-data    20140910.003  pl526_0                bioconda/linux-64             15 KB
