Updating build index: /Users/runner/conda/conda-bld

TEST START: /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/tmpcsjj1yhu/noarch/mtbseq-1.0.4-hdfd78af_2.tar.bz2
Reloading output folder: /Users/runner/conda/conda-bld
  Package                           Version  Build               Channel                                                                   Size
─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Install:
─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────

  + _r-mutex                          1.0.1  anacondar_1         conda-forge/noarch                                                      Cached
  + bwa                              0.7.17  h188c3c3_8          bioconda/osx-64                                                         208 KB
  + bwidget                          1.9.14  h694c41f_1          conda-forge/osx-64                                                      Cached
  + bzip2                             1.0.8  h0d85af4_4          conda-forge/osx-64                                                      Cached
  + c-ares                           1.18.1  h0d85af4_0          conda-forge/osx-64                                                      Cached
  + ca-certificates               2021.10.8  h033912b_0          conda-forge/osx-64                                                      Cached
  + cairo                            1.16.0  he43a7df_1008       conda-forge/osx-64                                                      Cached
  + cctools_osx-64                  973.0.1  h3e07e27_2          conda-forge/osx-64                                                      Cached
  + clang                            12.0.1  h694c41f_4          conda-forge/osx-64                                                      Cached
  + clang-12                         12.0.1  default_he082bbe_4  conda-forge/osx-64                                                      Cached
  + clang_osx-64                     12.0.1  hb91bd55_1          conda-forge/osx-64                                                      Cached
  + clangxx                          12.0.1  default_he082bbe_4  conda-forge/osx-64                                                      Cached
  + clangxx_osx-64                   12.0.1  h7e1b574_1          conda-forge/osx-64                                                      Cached
  + compiler-rt                      12.0.1  he01351e_0          conda-forge/osx-64                                                      Cached
  + compiler-rt_osx-64               12.0.1  hd3f61c9_0          conda-forge/noarch                                                      Cached
  + curl                             7.79.1  hf45b732_1          conda-forge/osx-64                                                      Cached
  + font-ttf-dejavu-sans-mono          2.37  hab24e00_0          conda-forge/noarch                                                      Cached
  + font-ttf-inconsolata              3.000  h77eed37_0          conda-forge/noarch                                                      Cached
  + font-ttf-source-code-pro          2.038  h77eed37_0          conda-forge/noarch                                                      Cached
  + font-ttf-ubuntu                    0.83  hab24e00_0          conda-forge/noarch                                                      Cached
  + fontconfig                       2.13.1  h10f422b_1005       conda-forge/osx-64                                                      Cached
  + fonts-conda-ecosystem                 1  0                   conda-forge/noarch                                                      Cached
  + fonts-conda-forge                     1  0                   conda-forge/noarch                                                      Cached
  + freetype                         2.10.4  h4cff582_1          conda-forge/osx-64                                                      Cached
  + fribidi                          1.0.10  hbcb3906_0          conda-forge/osx-64                                                      Cached
  + gatk                                3.8  py36_4              bioconda/osx-64                                                           8 KB
  + gettext                        0.19.8.1  hd1a6beb_1008       conda-forge/osx-64                                                      Cached
  + gfortran_impl_osx-64              9.3.0  h9cc0e5e_23         conda-forge/osx-64                                                      Cached
  + gfortran_osx-64                   9.3.0  h18f7dce_14         conda-forge/osx-64                                                      Cached
  + gmp                               6.2.1  h2e338ed_0          conda-forge/osx-64                                                      Cached
  + graphite2                        1.3.13  h2e338ed_1001       conda-forge/osx-64                                                      Cached
  + gsl                                 2.7  h93259b0_0          conda-forge/osx-64                                                      Cached
  + harfbuzz                          3.0.0  h159f659_1          conda-forge/osx-64                                                      Cached
  + icu                                68.1  h74dc148_0          conda-forge/osx-64                                                      Cached
  + isl                              0.22.1  hb1e8313_2          conda-forge/osx-64                                                      Cached
  + jbig                                2.1  h0d85af4_2003       conda-forge/osx-64                                                      Cached
  + jpeg                                 9d  hbcb3906_0          conda-forge/osx-64                                                      Cached
  + krb5                             1.19.2  hcfbf3a7_2          conda-forge/osx-64                                                      Cached
  + ld64_osx-64                         609  h2487922_2          conda-forge/osx-64                                                      Cached
  + ldid                              2.1.2  h6a69015_3          conda-forge/osx-64                                                      Cached
  + lerc                                3.0  he49afe7_0          conda-forge/osx-64                                                      Cached
  + libblas                           3.9.0  12_osx64_openblas   conda-forge/osx-64                                                      Cached
  + libcblas                          3.9.0  12_osx64_openblas   conda-forge/osx-64                                                      Cached
  + libclang-cpp12                   12.0.1  default_he082bbe_4  conda-forge/osx-64                                                      Cached
  + libcurl                          7.79.1  hf45b732_1          conda-forge/osx-64                                                      Cached
  + libcxx                           12.0.1  habf9029_0          conda-forge/osx-64                                                      Cached
  + libdeflate                          1.8  h0d85af4_0          conda-forge/osx-64                                                      Cached
  + libedit                    3.1.20191231  h0678c8f_2          conda-forge/osx-64                                                      Cached
  + libev                              4.33  haf1e3a3_1          conda-forge/osx-64                                                      Cached
  + libffi                            3.4.2  he49afe7_4          conda-forge/osx-64                                                      Cached
  + libgfortran                       5.0.0  9_3_0_h6c81a4c_23   conda-forge/osx-64                                                      Cached
  + libgfortran-devel_osx-64          9.3.0  h6c81a4c_23         conda-forge/noarch                                                      Cached
  + libgfortran5                      9.3.0  h6c81a4c_23         conda-forge/osx-64                                                      Cached
  + libglib                          2.70.0  hf1fb8c0_1          conda-forge/osx-64                                                      Cached
  + libiconv                           1.16  haf1e3a3_0          conda-forge/osx-64                                                      Cached
  + liblapack                         3.9.0  12_osx64_openblas   conda-forge/osx-64                                                      Cached
  + libllvm12                        12.0.1  hd011deb_2          conda-forge/osx-64                                                      Cached
  + libnghttp2                       1.43.0  h6f36284_1          conda-forge/osx-64                                                      Cached
  + libopenblas                      0.3.18  openmp_h3351f45_0   conda-forge/osx-64                                                      Cached
  + libpng                           1.6.37  h7cec526_2          conda-forge/osx-64                                                      Cached
  + libssh2                          1.10.0  h52ee1ee_2          conda-forge/osx-64                                                      Cached
  + libtiff                           4.3.0  hd146c10_2          conda-forge/osx-64                                                      Cached
  + libwebp-base                      1.2.1  h0d85af4_0          conda-forge/osx-64                                                      Cached
  + libxml2                          2.9.12  h93ec3fd_0          conda-forge/osx-64                                                      Cached
  + libzlib                          1.2.11  h9173be1_1013       conda-forge/osx-64                                                      Cached
  + llvm-openmp                      12.0.1  hda6cdc1_1          conda-forge/osx-64                                                      Cached
  + llvm-tools                       12.0.1  hd011deb_2          conda-forge/osx-64                                                      Cached
  + lz4-c                             1.9.3  he49afe7_1          conda-forge/osx-64                                                      Cached
  + make                                4.3  h22f3db7_1          conda-forge/osx-64                                                      Cached
  + mpc                               1.2.1  hbb51d92_0          conda-forge/osx-64                                                      Cached
  + mpfr                              4.1.0  h0f52abe_1          conda-forge/osx-64                                                      Cached
  + mtbseq                            1.0.4  hdfd78af_2          /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/tmpcsjj1yhu/noarch      87 MB
  + ncurses                             6.2  h2e338ed_4          conda-forge/osx-64                                                      Cached
  + openjdk                         8.0.302  h0d85af4_0          conda-forge/osx-64                                                       45 MB
  + openssl                          1.1.1l  h0d85af4_0          conda-forge/osx-64                                                      Cached
  + pango                           1.48.10  h056538c_2          conda-forge/osx-64                                                      Cached
  + pcre                               8.45  he49afe7_0          conda-forge/osx-64                                                      Cached
  + pcre2                             10.37  ha16e1b2_0          conda-forge/osx-64                                                      Cached
  + perl                             5.26.2  hbcb3906_1008       conda-forge/osx-64                                                       14 MB
  + perl-base                          2.23  pl526_1             bioconda/osx-64                                                          10 KB
  + perl-carp                          1.38  pl526_3             bioconda/osx-64                                                          15 KB
  + perl-constant                      1.33  pl526_1             bioconda/osx-64                                                          10 KB
  + perl-exporter                      5.72  pl526_1             bioconda/osx-64                                                          13 KB
  + perl-extutils-makemaker            7.36  pl526_1             bioconda/osx-64                                                         153 KB
  + perl-file-path                     2.16  pl526_0             bioconda/osx-64                                                          17 KB
  + perl-getopt-long                   2.50  pl526_1             bioconda/osx-64                                                          27 KB
  + perl-mce                          1.837  pl526_0             bioconda/osx-64                                                         127 KB
  + perl-number-format                 1.75  pl526_3             bioconda/osx-64                                                          20 KB
  + perl-scalar-list-utils             1.52  pl526h01d97ff_0     bioconda/osx-64                                                          35 KB
  + perl-socket                       2.027  pl526_1             bioconda/osx-64                                                          27 KB
  + perl-statistics-basic            1.6611  0                   bioconda/osx-64                                                          27 KB
  + perl-storable                      3.15  pl526h1de35cc_0     bioconda/osx-64                                                          56 KB
  + perl-threaded                    5.26.0  0                   bioconda/osx-64                                                           4 KB
  + perl-time-hires                  1.9760  pl526h1de35cc_1     bioconda/osx-64                                                          22 KB
  + perl-xsloader                      0.24  pl526_0             bioconda/osx-64                                                           8 KB
  + picard                           2.26.4  hdfd78af_0          bioconda/noarch                                                          16 MB
  + pip                              21.3.1  pyhd8ed1ab_0        conda-forge/noarch                                                      Cached
  + pixman                           0.40.0  hbcb3906_0          conda-forge/osx-64                                                      Cached
  + python                           3.6.13  haf480d7_2_cpython  conda-forge/osx-64                                                       21 MB
  + python_abi                          3.6  2_cp36m             conda-forge/osx-64                                                        4 KB
  + r-assertthat                      0.2.1  r41hc72bb7e_2       conda-forge/noarch                                                      Cached
  + r-backports                       1.3.0  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-base                            4.1.1  h65845f3_1          conda-forge/osx-64                                                      Cached
  + r-bitops                          1.0_7  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-brio                            1.1.2  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-callr                           3.7.0  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-catools                        1.18.2  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-cli                             3.1.0  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-colorspace                      2.0_2  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-crayon                          1.4.1  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-desc                            1.4.0  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-diffobj                         0.3.5  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-digest                         0.6.28  r41h9951f98_0       conda-forge/osx-64                                                      Cached
