  Package                           Version  Build               Channel                                                                   Size
─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Install:
─────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────

  + _r-mutex                          1.0.1  anacondar_1         conda-forge/noarch                                                      Cached
  + bwidget                          1.9.14  h694c41f_0          conda-forge/osx-64                                                      Cached
  + bzip2                             1.0.8  h0d85af4_4          conda-forge/osx-64                                                      Cached
  + c-ares                           1.17.2  h0d85af4_0          conda-forge/osx-64                                                      Cached
  + ca-certificates               2021.5.30  h033912b_0          conda-forge/osx-64                                                      Cached
  + cairo                            1.16.0  he43a7df_1008       conda-forge/osx-64                                                      Cached
  + cctools_osx-64                  973.0.1  h3e07e27_2          conda-forge/osx-64                                                      Cached
  + clang                            12.0.1  h694c41f_4          conda-forge/osx-64                                                      Cached
  + clang-12                         12.0.1  default_he082bbe_4  conda-forge/osx-64                                                      Cached
  + clang_osx-64                     12.0.1  hb91bd55_1          conda-forge/osx-64                                                      Cached
  + clangxx                          12.0.1  default_he082bbe_4  conda-forge/osx-64                                                      Cached
  + clangxx_osx-64                   12.0.1  h7e1b574_1          conda-forge/osx-64                                                      Cached
  + compiler-rt                      12.0.1  he01351e_0          conda-forge/osx-64                                                      Cached
  + compiler-rt_osx-64               12.0.1  hd3f61c9_0          conda-forge/noarch                                                      Cached
  + curl                             7.79.1  h97da3c1_1          conda-forge/osx-64                                                      141 KB
  + font-ttf-dejavu-sans-mono          2.37  hab24e00_0          conda-forge/noarch                                                      Cached
  + font-ttf-inconsolata              3.000  h77eed37_0          conda-forge/noarch                                                      Cached
  + font-ttf-source-code-pro          2.038  h77eed37_0          conda-forge/noarch                                                      Cached
  + font-ttf-ubuntu                    0.83  hab24e00_0          conda-forge/noarch                                                      Cached
  + fontconfig                       2.13.1  h10f422b_1005       conda-forge/osx-64                                                      Cached
  + fonts-conda-ecosystem                 1  0                   conda-forge/noarch                                                      Cached
  + fonts-conda-forge                     1  0                   conda-forge/noarch                                                      Cached
  + freetype                         2.10.4  h4cff582_1          conda-forge/osx-64                                                      Cached
  + fribidi                          1.0.10  hbcb3906_0          conda-forge/osx-64                                                      Cached
  + gettext                        0.19.8.1  hd1a6beb_1008       conda-forge/osx-64                                                      Cached
  + gfortran_impl_osx-64              9.3.0  h9cc0e5e_23         conda-forge/osx-64                                                      Cached
  + gfortran_osx-64                   9.3.0  h18f7dce_14         conda-forge/osx-64                                                      Cached
  + gmp                               6.2.1  h2e338ed_0          conda-forge/osx-64                                                      Cached
  + graphite2                        1.3.13  h2e338ed_1001       conda-forge/osx-64                                                      Cached
  + gsl                                 2.7  h93259b0_0          conda-forge/osx-64                                                      Cached
  + harfbuzz                          2.9.1  h159f659_0          conda-forge/osx-64                                                      Cached
  + icu                                68.1  h74dc148_0          conda-forge/osx-64                                                      Cached
  + isl                              0.22.1  hb1e8313_2          conda-forge/osx-64                                                      Cached
  + jbig                                2.1  h0d85af4_2003       conda-forge/osx-64                                                      Cached
  + jpeg                                 9d  hbcb3906_0          conda-forge/osx-64                                                      Cached
  + krb5                             1.19.2  h289aae4_1          conda-forge/osx-64                                                        1 MB
  + ld64_osx-64                         609  h2487922_2          conda-forge/osx-64                                                      Cached
  + ldid                              2.1.2  h6a69015_3          conda-forge/osx-64                                                      Cached
  + lerc                              2.2.1  h046ec9c_0          conda-forge/osx-64                                                      Cached
  + libblas                           3.9.0  11_osx64_openblas   conda-forge/osx-64                                                      Cached
  + libcblas                          3.9.0  11_osx64_openblas   conda-forge/osx-64                                                      Cached
  + libclang-cpp12                   12.0.1  default_he082bbe_4  conda-forge/osx-64                                                      Cached
  + libcurl                          7.79.1  h97da3c1_1          conda-forge/osx-64                                                      317 KB
  + libcxx                           12.0.1  habf9029_0          conda-forge/osx-64                                                      Cached
  + libdeflate                          1.7  h35c211d_5          conda-forge/osx-64                                                      Cached
  + libedit                    3.1.20191231  h0678c8f_2          conda-forge/osx-64                                                      Cached
  + libev                              4.33  haf1e3a3_1          conda-forge/osx-64                                                      Cached
  + libffi                            3.4.2  he49afe7_4          conda-forge/osx-64                                                      Cached
  + libgfortran                       5.0.0  9_3_0_h6c81a4c_23   conda-forge/osx-64                                                      Cached
  + libgfortran-devel_osx-64          9.3.0  h6c81a4c_23         conda-forge/noarch                                                      Cached
  + libgfortran5                      9.3.0  h6c81a4c_23         conda-forge/osx-64                                                      Cached
  + libglib                          2.68.4  hf1fb8c0_1          conda-forge/osx-64                                                      Cached
  + libiconv                           1.16  haf1e3a3_0          conda-forge/osx-64                                                      Cached
  + liblapack                         3.9.0  11_osx64_openblas   conda-forge/osx-64                                                      Cached
  + libllvm12                        12.0.1  hd011deb_2          conda-forge/osx-64                                                      Cached
  + libnghttp2                       1.43.0  hfd382f3_1          conda-forge/osx-64                                                      874 KB
  + libopenblas                      0.3.17  openmp_h3351f45_1   conda-forge/osx-64                                                      Cached
  + libpng                           1.6.37  h7cec526_2          conda-forge/osx-64                                                      Cached
  + libssh2                          1.10.0  hd3787cc_2          conda-forge/osx-64                                                      221 KB
  + libtiff                           4.3.0  h1167814_1          conda-forge/osx-64                                                      Cached
  + libwebp-base                      1.2.1  h0d85af4_0          conda-forge/osx-64                                                      Cached
  + libxml2                          2.9.12  h93ec3fd_0          conda-forge/osx-64                                                      Cached
  + llvm-openmp                      12.0.1  hda6cdc1_1          conda-forge/osx-64                                                      Cached
  + llvm-tools                       12.0.1  hd011deb_2          conda-forge/osx-64                                                      Cached
  + lz4-c                             1.9.3  he49afe7_1          conda-forge/osx-64                                                      Cached
  + make                                4.3  h22f3db7_1          conda-forge/osx-64                                                      Cached
  + mpc                               1.2.1  hbb51d92_0          conda-forge/osx-64                                                      Cached
  + mpfr                              4.1.0  h0f52abe_1          conda-forge/osx-64                                                      Cached
  + ncurses                             6.2  h2e338ed_4          conda-forge/osx-64                                                      Cached
  + openssl                           3.0.0  h0d85af4_0          conda-forge/osx-64                                                        3 MB
  + pango                           1.48.10  ha05cd14_1          conda-forge/osx-64                                                      Cached
  + pcre                               8.45  he49afe7_0          conda-forge/osx-64                                                      Cached
  + pcre2                             10.37  ha16e1b2_0          conda-forge/osx-64                                                      Cached
  + pixman                           0.40.0  hbcb3906_0          conda-forge/osx-64                                                      Cached
  + r-assertthat                      0.2.1  r41hc72bb7e_2       conda-forge/noarch                                                      Cached
  + r-backports                       1.2.1  r41h28b5c78_0       conda-forge/osx-64                                                       97 KB
  + r-base                            4.1.1  h65845f3_1          conda-forge/osx-64                                                      Cached
  + r-bit                             4.0.4  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-bit64                           4.0.5  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-boot                           1.3_28  r41hc72bb7e_0       conda-forge/noarch                                                      633 KB
  + r-broom                           0.7.9  r41hc72bb7e_0       conda-forge/noarch                                                        2 MB
  + r-cli                             3.0.1  r41h9951f98_1       conda-forge/osx-64                                                      Cached
  + r-clipr                           0.7.1  r41hc72bb7e_0       conda-forge/noarch                                                       65 KB
  + r-cpp11                           0.4.0  r41hc72bb7e_0       conda-forge/noarch                                                      246 KB
  + r-crayon                          1.4.1  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-dplyr                           1.0.7  r41h9951f98_0       conda-forge/osx-64                                                      Cached
  + r-ellipsis                        0.3.2  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-fansi                           0.5.0  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-forcats                         0.5.1  r41hc72bb7e_0       conda-forge/noarch                                                      378 KB
  + r-generics                        0.1.0  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-glue                            1.4.2  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-hardyweinberg                   1.7.2  r41h9951f98_0       /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/tmpzk_70src/osx-64       1 MB
  + r-haven                           2.4.3  r41h8a02945_0       conda-forge/osx-64                                                      357 KB
  + r-hms                             1.1.1  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-jomo                            2.7_2  r41h28b5c78_0       conda-forge/osx-64                                                        2 MB
  + r-lattice                       0.20_45  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-lifecycle                       1.0.1  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-lme4                         1.1_27.1  r41h9951f98_0       conda-forge/osx-64                                                        4 MB
  + r-magrittr                        2.0.1  r41h28b5c78_1       conda-forge/osx-64                                                      Cached
  + r-mass                           7.3_54  r41h28b5c78_0       conda-forge/osx-64                                                      Cached
  + r-matrix                          1.3_4  r41hc2c5f09_0       conda-forge/osx-64                                                      Cached
  + r-mice                           3.13.0  r41h9951f98_0       conda-forge/osx-64                                                        1 MB
  + r-minqa                           1.2.4  r41h1c00d0a_1006    conda-forge/osx-64                                                      138 KB
  + r-mitml                           0.4_2  r41hc72bb7e_0       conda-forge/noarch                                                      520 KB
  + r-nlme                          3.1_153  r41h749f5a1_0       conda-forge/osx-64                                                      Cached
  + r-nloptr                        1.2.2.2  r41h9951f98_0       conda-forge/osx-64                                                      543 KB
  + r-nnet                           7.3_16  r41h28b5c78_0       conda-forge/osx-64                                                      134 KB
  + r-numderiv                   2016.8_1.1  r41hc72bb7e_3       conda-forge/noarch                                                      125 KB
  + r-ordinal                    2019.12_10  r41h28b5c78_1       conda-forge/osx-64                                                        1 MB
  + r-pan                               1.6  r41h749f5a1_4       conda-forge/osx-64                                                      359 KB
  + r-pillar                          1.6.3  r41hc72bb7e_0       conda-forge/noarch                                                      Cached
  + r-pkgconfig                       2.0.3  r41hc72bb7e_1       conda-forge/noarch                                                      Cached
