Updating build index: /Users/runner/conda/conda-bld

TEST START: /var/folders/24/8k48jl6d249_n_qfxwsl6xvm0000gn/T/tmpqcw7yvwd/noarch/seq2science-0.5.6-pypyhdfd78af_0.tar.bz2
Reloading output folder: /Users/runner/conda/conda-bld
  Package                          Version  Build               Channel                                                                   Size
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────
  Install:
────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────

  + appdirs                          1.4.4  pyh9f0ad1d_0        conda-forge/noarch                                                       13 KB
  + argcomplete                     1.12.2  pyhd8ed1ab_0        conda-forge/noarch                                                       34 KB
  + attrs                           21.2.0  pyhd8ed1ab_0        conda-forge/noarch                                                      Cached
  + biopython                         1.74  py38h0b31af3_0      conda-forge/osx-64                                                        2 MB
  + biothings_client                 0.2.6  pyh5e36f6f_0        bioconda/noarch                                                          31 KB
  + boltons                         21.0.0  pyhd8ed1ab_0        conda-forge/noarch                                                      211 KB
  + brotlipy                         0.7.0  py38h96a0964_1001   conda-forge/osx-64                                                      357 KB
  + bucketcache                     0.12.1  py38h32f6830_2      conda-forge/osx-64                                                       31 KB
  + bzip2                            1.0.8  h0d85af4_4          conda-forge/osx-64                                                      Cached
  + c-ares                          1.18.1  h0d85af4_0          conda-forge/osx-64                                                      Cached
  + ca-certificates              2021.10.8  h033912b_0          conda-forge/osx-64                                                      Cached
  + certifi                      2021.10.8  py38h50d1736_0      conda-forge/osx-64                                                      145 KB
  + cffi                            1.14.6  py38h1a44b6c_1      conda-forge/osx-64                                                      219 KB
  + chardet                          4.0.0  py38h50d1736_1      conda-forge/osx-64                                                      204 KB
  + click                            8.0.3  py38h50d1736_0      conda-forge/osx-64                                                      146 KB
  + colorama                         0.4.4  pyh9f0ad1d_0        conda-forge/noarch                                                      Cached
  + conda                            4.9.2  py38h50d1736_0      conda-forge/osx-64                                                        3 MB
  + conda-package-handling           1.7.3  py38h96a0964_0      conda-forge/osx-64                                                        2 MB
  + configargparse                   1.5.3  pyhd8ed1ab_0        conda-forge/noarch                                                       32 KB
  + cryptography                    35.0.0  py38h56c4533_1      conda-forge/osx-64                                                        1 MB
  + cycler                          0.11.0  pyhd8ed1ab_0        conda-forge/noarch                                                      Cached
  + datrie                           0.8.2  py38h96a0964_2      conda-forge/osx-64                                                      131 KB
  + decorator                        5.1.0  pyhd8ed1ab_0        conda-forge/noarch                                                       11 KB
  + dnspython                        2.1.0  pyhd8ed1ab_0        conda-forge/noarch                                                      120 KB
  + docutils                          0.18  py38h50d1736_0      conda-forge/osx-64                                                      740 KB
  + filelock                        3.0.12  pyh9f0ad1d_0        conda-forge/noarch                                                       10 KB
  + freetype                        2.10.4  h4cff582_1          conda-forge/osx-64                                                      Cached
  + genomepy                        0.10.0  pyhdfd78af_0        bioconda/noarch                                                          62 KB
  + gitdb                            4.0.9  pyhd8ed1ab_0        conda-forge/noarch                                                       46 KB
  + gitpython                       3.1.24  pyhd8ed1ab_0        conda-forge/noarch                                                      122 KB
  + icu                               69.1  he49afe7_0          conda-forge/osx-64                                                      Cached
  + idna                              2.10  pyh9f0ad1d_0        conda-forge/noarch                                                       52 KB
  + importlib-metadata               4.8.1  py38h50d1736_0      conda-forge/osx-64                                                       32 KB
  + importlib_metadata               1.5.0  py38_0              conda-forge/osx-64                                                       42 KB
  + ipython_genutils                 0.2.0  py_1                conda-forge/noarch                                                       21 KB
  + jbig                               2.1  h0d85af4_2003       conda-forge/osx-64                                                      Cached
  + joblib                           1.1.0  pyhd8ed1ab_0        conda-forge/noarch                                                      Cached
  + jpeg                                9d  hbcb3906_0          conda-forge/osx-64                                                      Cached
  + jsonschema                       4.1.2  pyhd8ed1ab_0        conda-forge/noarch                                                      Cached
  + jupyter_core                     4.9.1  py38h50d1736_0      conda-forge/osx-64                                                       80 KB
  + kiwisolver                       1.3.2  py38h12bbefe_0      conda-forge/osx-64                                                       57 KB
  + krb5                            1.19.2  hcfbf3a7_2          conda-forge/osx-64                                                      Cached
  + lcms2                             2.12  h577c468_0          conda-forge/osx-64                                                      Cached
  + lerc                               3.0  he49afe7_0          conda-forge/osx-64                                                      Cached
  + libarchive                       3.5.2  h2b60450_1          conda-forge/osx-64                                                      Cached
  + libblas                          3.9.0  12_osx64_openblas   conda-forge/osx-64                                                      Cached
  + libcblas                         3.9.0  12_osx64_openblas   conda-forge/osx-64                                                      Cached
  + libcurl                         7.79.1  hf45b732_1          conda-forge/osx-64                                                      Cached
  + libcxx                          12.0.1  habf9029_0          conda-forge/osx-64                                                      Cached
  + libdeflate                         1.8  h0d85af4_0          conda-forge/osx-64                                                      Cached
  + libedit                   3.1.20191231  h0678c8f_2          conda-forge/osx-64                                                      Cached
  + libev                             4.33  haf1e3a3_1          conda-forge/osx-64                                                      Cached
  + libffi                           3.4.2  he49afe7_4          conda-forge/osx-64                                                      Cached
  + libgfortran                      5.0.0  9_3_0_h6c81a4c_23   conda-forge/osx-64                                                      Cached
  + libgfortran5                     9.3.0  h6c81a4c_23         conda-forge/osx-64                                                      Cached
  + libiconv                          1.16  haf1e3a3_0          conda-forge/osx-64                                                      Cached
  + liblapack                        3.9.0  12_osx64_openblas   conda-forge/osx-64                                                      Cached
  + libnghttp2                      1.43.0  h6f36284_1          conda-forge/osx-64                                                      Cached
  + libopenblas                     0.3.18  openmp_h3351f45_0   conda-forge/osx-64                                                      Cached
  + libpng                          1.6.37  h7cec526_2          conda-forge/osx-64                                                      Cached
  + libprotobuf                     3.18.1  hcf210ce_0          conda-forge/osx-64                                                        2 MB
  + libsolv                         0.7.19  hcf210ce_5          conda-forge/osx-64                                                      Cached
  + libssh2                         1.10.0  h52ee1ee_2          conda-forge/osx-64                                                      Cached
  + libtiff                          4.3.0  hd146c10_2          conda-forge/osx-64                                                      Cached
  + libuuid                         2.32.1  h35c211d_1000       conda-forge/osx-64                                                       23 KB
  + libwebp-base                     1.2.1  h0d85af4_0          conda-forge/osx-64                                                      Cached
  + libxml2                         2.9.12  h7e28ab6_1          conda-forge/osx-64                                                      Cached
  + libzlib                         1.2.11  h9173be1_1013       conda-forge/osx-64                                                      Cached
  + llvm-openmp                     12.0.1  hda6cdc1_1          conda-forge/osx-64                                                      Cached
  + logbook                          1.5.3  py38h5406a74_4      conda-forge/osx-64                                                      105 KB
  + loguru                           0.5.3  py38h50d1736_2      conda-forge/osx-64                                                       85 KB
  + lz4-c                            1.9.3  he49afe7_1          conda-forge/osx-64                                                      Cached
  + lzo                               2.10  haf1e3a3_1000       conda-forge/osx-64                                                      Cached
  + mamba                           0.7.14  py38hb989c8f_0      conda-forge/osx-64                                                      482 KB
  + matplotlib-base                  3.3.2  py38h9bfd75d_1      conda-forge/osx-64                                                        7 MB
  + mygene                           3.2.2  pyh5e36f6f_0        bioconda/noarch                                                          10 KB
  + mysql-common                    8.0.27  h694c41f_1          conda-forge/osx-64                                                        2 MB
  + mysql-connector-c               6.1.11  h0f02589_1007       conda-forge/osx-64                                                        4 MB
  + mysql-connector-python          8.0.27  py38h1eb658b_0      conda-forge/osx-64                                                      578 KB
  + mysql-libs                      8.0.27  h115446f_1          conda-forge/osx-64                                                        2 MB
  + nbformat                         5.1.3  pyhd8ed1ab_0        conda-forge/noarch                                                       47 KB
  + ncurses                            6.2  h2e338ed_4          conda-forge/osx-64                                                      Cached
  + norns                            0.1.6  pyh5e36f6f_0        bioconda/noarch                                                           8 KB
  + nose                             1.3.7  py38h32f6830_1004   conda-forge/osx-64                                                      215 KB
  + numpy                           1.21.3  py38h49b9922_0      conda-forge/osx-64                                                        6 MB
  + olefile                           0.46  pyh9f0ad1d_1        conda-forge/noarch                                                      Cached
  + openjpeg                         2.4.0  h6e7aa92_1          conda-forge/osx-64                                                      Cached
  + openssl                         1.1.1l  h0d85af4_0          conda-forge/osx-64                                                      Cached
  + pandas                           1.2.0  py38he9f00de_1      conda-forge/osx-64                                                       11 MB
  + pandas_schema                    0.3.5  py_0                conda-forge/noarch                                                       24 KB
  + pathlib                          1.0.1  py38h50d1736_4      conda-forge/osx-64                                                        4 KB
  + pillow                           8.3.2  py38hee640a0_0      conda-forge/osx-64                                                      664 KB
  + pip                             21.3.1  pyhd8ed1ab_0        conda-forge/noarch                                                      Cached
  + protobuf                        3.18.1  py38ha048514_0      conda-forge/osx-64                                                      329 KB
  + psutil                           5.8.0  py38h96a0964_1      conda-forge/osx-64                                                      351 KB
  + pycosat                          0.6.3  py38h96a0964_1006   conda-forge/osx-64                                                      113 KB
  + pycparser                         2.20  pyh9f0ad1d_2        conda-forge/noarch                                                      Cached
  + pyfaidx                        0.6.3.1  pyh5e36f6f_0        bioconda/noarch                                                          29 KB
  + pyopenssl                       21.0.0  pyhd8ed1ab_0        conda-forge/noarch                                                      Cached
  + pyparsing                        3.0.3  pyhd8ed1ab_0        conda-forge/noarch                                                      Cached
  + pyrsistent                      0.17.3  py38h96a0964_2      conda-forge/osx-64                                                       88 KB
  + pysocks                          1.7.1  py38h50d1736_3      conda-forge/osx-64                                                       27 KB
  + pysradb                          1.0.1  py_0                bioconda/noarch                                                         148 KB
  + python                          3.8.12  h17280f6_2_cpython  conda-forge/osx-64                                                       12 MB
  + python-dateutil                  2.8.2  pyhd8ed1ab_0        conda-forge/noarch                                                      Cached
  + python_abi                         3.8  2_cp38              conda-forge/osx-64                                                        4 KB
  + pytz                            2021.3  pyhd8ed1ab_0        conda-forge/noarch                                                      Cached
  + pyyaml                           5.3.1  py38h5406a74_2      conda-forge/osx-64                                                      173 KB
  + ratelimiter                      1.2.0  py38h32f6830_1001   conda-forge/osx-64                                                       13 KB
  + readline                           8.1  h05e3726_0          conda-forge/osx-64                                                      Cached
  + represent                        1.6.0  py38h4d0b108_2      conda-forge/osx-64                                                       22 KB
