Updating build index: /home/vsts/conda/conda-bld

TEST START: /tmp/tmpcxr8mxp1/noarch/snakelines-0.10.0-hdfd78af_1.tar.bz2
Reloading output folder: /home/vsts/conda/conda-bld
  Package                               Version  Build                Channel                       Size
──────────────────────────────────────────────────────────────────────────────────────────────────────────
  Install:
──────────────────────────────────────────────────────────────────────────────────────────────────────────

  + _libgcc_mutex                           0.1  conda_forge          conda-forge/linux-64        Cached
  + _openmp_mutex                           4.5  1_gnu                conda-forge/linux-64        Cached
  + aioeasywebdav                         2.4.0  py37h89c1867_1001    conda-forge/linux-64         18 KB
  + aiohttp                         3.7.4.post0  py37h5e8e339_0       conda-forge/linux-64        625 KB
  + appdirs                               1.4.4  pyh9f0ad1d_0         conda-forge/noarch          Cached
  + async-timeout                         3.0.1  py_1000              conda-forge/noarch          Cached
  + atk                                  2.36.0  ha770c72_4           conda-forge/linux-64         12 KB
  + atk-1.0                              2.36.0  h3371d22_4           conda-forge/linux-64        Cached
  + attrs                                21.2.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + backcall                              0.2.0  pyh9f0ad1d_0         conda-forge/noarch          Cached
  + backports                               1.0  py_2                 conda-forge/noarch          Cached
  + backports.functools_lru_cache         1.6.4  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + bcrypt                                3.2.0  py37h5e8e339_1       conda-forge/linux-64         44 KB
  + beautifulsoup4                        4.9.3  pyhb0f4dca_0         conda-forge/noarch           86 KB
  + biopython                              1.78  py37h5e8e339_2       conda-forge/linux-64          3 MB
  + boto3                                1.19.1  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + botocore                             1.22.1  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + brotlipy                              0.7.0  py37h5e8e339_1001    conda-forge/linux-64        341 KB
  + bs4                                   4.9.3  0                    conda-forge/noarch            4 KB
  + bzip2                                 1.0.8  h7f98852_4           conda-forge/linux-64        Cached
  + c-ares                               1.17.2  h7f98852_0           conda-forge/linux-64        Cached
  + ca-certificates                   2021.10.8  ha878542_0           conda-forge/linux-64        Cached
  + cachecontrol                         0.12.6  py_0                 conda-forge/noarch           18 KB
  + cachetools                            4.2.4  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + cairo                                1.16.0  h9f066cc_1006        conda-forge/linux-64          1 MB
  + cairocffi                             1.2.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + cairosvg                              2.5.2  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + certifi                           2021.10.8  py37h89c1867_0       conda-forge/linux-64        144 KB
  + cffi                                 1.14.4  py37h11fe52a_0       conda-forge/linux-64        224 KB
  + chardet                               4.0.0  py37h89c1867_1       conda-forge/linux-64        204 KB
  + charset-normalizer                    2.0.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + configargparse                        1.5.3  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + crc32c                            2.2.post0  py37h5e8e339_0       conda-forge/linux-64         36 KB
  + cryptography                         35.0.0  py37h5d9358c_0       conda-forge/linux-64          2 MB
  + cssselect2                            0.2.1  pyh9f0ad1d_1         conda-forge/noarch          Cached
  + cycler                               0.10.0  py_2                 conda-forge/noarch          Cached
  + cython                              0.29.24  py37hcd2ae1e_0       conda-forge/linux-64          2 MB
  + datrie                                0.8.2  py37h5e8e339_2       conda-forge/linux-64        152 KB
  + decorator                             4.4.2  py_0                 conda-forge/noarch          Cached
  + defusedxml                            0.7.1  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + docutils                             0.17.1  py37h89c1867_0       conda-forge/linux-64        762 KB
  + dropbox                             11.22.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + et_xmlfile                            1.0.1  py_1001              conda-forge/noarch           11 KB
  + expat                                 2.4.1  h9c3ff4c_0           conda-forge/linux-64        Cached
  + fftw                                 3.3.10  nompi_h74d3f13_101   conda-forge/linux-64        Cached
  + filechunkio                             1.8  py_2                 conda-forge/noarch          Cached
  + font-ttf-dejavu-sans-mono              2.37  hab24e00_0           conda-forge/noarch          Cached
  + font-ttf-inconsolata                  3.000  h77eed37_0           conda-forge/noarch          Cached
  + font-ttf-source-code-pro              2.038  h77eed37_0           conda-forge/noarch          Cached
  + font-ttf-ubuntu                        0.83  hab24e00_0           conda-forge/noarch          Cached
  + fontconfig                           2.13.1  hba837de_1005        conda-forge/linux-64        Cached
  + fonts-conda-ecosystem                     1  0                    conda-forge/noarch          Cached
  + fonts-conda-forge                         1  0                    conda-forge/noarch          Cached
  + freetype                             2.10.4  h0708190_1           conda-forge/linux-64        Cached
  + fribidi                              1.0.10  h36c2ea0_0           conda-forge/linux-64        Cached
  + ftputil                               5.0.1  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + gdk-pixbuf                           2.42.2  h19a9c64_1           conda-forge/linux-64        617 KB
  + gettext                            0.19.8.1  hf34092f_1004        conda-forge/linux-64          4 MB
  + ghostscript                          9.54.0  h9c3ff4c_1           conda-forge/linux-64        Cached
  + giflib                                5.2.1  h36c2ea0_2           conda-forge/linux-64        Cached
  + gitdb                                 4.0.7  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + gitpython                            3.1.24  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + glib                                 2.66.3  h58526e2_0           conda-forge/linux-64        500 KB
  + gobject-introspection                1.66.1  py37h9019ea4_3       conda-forge/linux-64          1 MB
  + google-api-core                       2.1.0  pyhd8ed1ab_0         conda-forge/noarch           60 KB
  + google-auth                           2.3.0  pyh6c4a22f_0         conda-forge/noarch           82 KB
  + google-cloud-core                     2.1.0  pyh6c4a22f_0         conda-forge/noarch           26 KB
  + google-cloud-storage                 1.42.3  pyh6c4a22f_0         conda-forge/noarch          Cached
  + google-crc32c                         1.1.2  py37hab72019_0       conda-forge/linux-64         24 KB
  + google-resumable-media                2.0.3  pyh6c4a22f_0         conda-forge/noarch          Cached
  + googleapis-common-protos             1.53.0  py37h89c1867_0       conda-forge/linux-64        124 KB
  + graphite2                            1.3.13  h58526e2_1001        conda-forge/linux-64        Cached
  + graphviz                             2.42.3  h6939c30_2           conda-forge/linux-64          7 MB
  + grpcio                               1.41.0  py37hb27c1af_0       conda-forge/linux-64          2 MB
  + gtk2                                2.24.32  hfcb1518_4           conda-forge/linux-64          7 MB
  + gts                                   0.7.6  h1fc3fae_2           conda-forge/linux-64        388 KB
  + harfbuzz                              2.7.2  ha5b49bf_1           conda-forge/linux-64          2 MB
  + hdmedians                            0.14.2  py37h6f94858_0       conda-forge/linux-64        153 KB
  + html5lib                                1.1  pyh9f0ad1d_0         conda-forge/noarch           89 KB
  + icu                                    67.1  he1b5a44_0           conda-forge/linux-64         13 MB
  + idna                                    3.1  pyhd3deb0d_0         conda-forge/noarch          Cached
  + imagemagick                       7.0.10_28  pl5262hd815ba0_2     conda-forge/linux-64          3 MB
  + importlib-metadata                    4.8.1  py37h89c1867_0       conda-forge/linux-64         32 KB
  + importlib_metadata                    4.8.1  hd8ed1ab_0           conda-forge/noarch            4 KB
  + iniconfig                             1.1.1  pyh9f0ad1d_0         conda-forge/noarch          Cached
  + ipython                              7.28.0  py37h6531663_0       conda-forge/linux-64          1 MB
  + ipython_genutils                      0.2.0  py_1                 conda-forge/noarch          Cached
  + jbig                                    2.1  h7f98852_2003        conda-forge/linux-64        Cached
  + jdcal                                 1.4.1  py_0                 conda-forge/noarch            9 KB
  + jedi                                 0.18.0  py37h89c1867_2       conda-forge/linux-64        923 KB
  + jinja2                               2.11.2  pyh9f0ad1d_0         conda-forge/noarch           93 KB
  + jmespath                             0.10.0  pyh9f0ad1d_0         conda-forge/noarch          Cached
  + joblib                                1.1.0  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + jpeg                                     9d  h36c2ea0_0           conda-forge/linux-64        Cached
  + jsonschema                            4.1.2  pyhd8ed1ab_0         conda-forge/noarch          Cached
  + jupyter_core                          4.8.1  py37h89c1867_0       conda-forge/linux-64         78 KB
  + kiwisolver                            1.3.2  py37h2527ec5_0       conda-forge/linux-64         78 KB
  + krb5                                 1.19.2  hcc1bbae_0           conda-forge/linux-64          1 MB
  + lcms2                                  2.12  hddcbb42_0           conda-forge/linux-64        Cached
  + ld_impl_linux-64                     2.36.1  hea4e1c9_2           conda-forge/linux-64        Cached
  + lerc                                  2.2.1  h9c3ff4c_0           conda-forge/linux-64        Cached
  + libblas                               3.9.0  12_linux64_openblas  conda-forge/linux-64        Cached
  + libcblas                              3.9.0  12_linux64_openblas  conda-forge/linux-64        Cached
  + libcrc32c                             1.1.2  h9c3ff4c_0           conda-forge/linux-64        Cached
  + libcurl                              7.79.1  h2574ce0_1           conda-forge/linux-64        Cached
  + libdeflate                              1.7  h7f98852_5           conda-forge/linux-64        Cached
  + libedit                        3.1.20191231  he28a2e2_2           conda-forge/linux-64        Cached
  + libev                                  4.33  h516909a_1           conda-forge/linux-64        Cached
  + libffi                                3.2.1  he1b5a44_1007        conda-forge/linux-64         47 KB
  + libgcc-ng                            11.2.0  h1d223b6_11          conda-forge/linux-64        Cached
  + libgfortran-ng                       11.2.0  h69a702a_11          conda-forge/linux-64        Cached
  + libgfortran5                         11.2.0  h5c6108e_11          conda-forge/linux-64        Cached
  + libglib                              2.66.3  hbe7bbb4_0           conda-forge/linux-64          3 MB
  + libgomp                              11.2.0  h1d223b6_11          conda-forge/linux-64        Cached
  + libiconv                               1.16  h516909a_0           conda-forge/linux-64        Cached
  + liblapack                             3.9.0  12_linux64_openblas  conda-forge/linux-64        Cached
  + libnghttp2                           1.43.0  h812cca2_1           conda-forge/linux-64        Cached
  + libopenblas                          0.3.18  pthreads_h8fe5266_0  conda-forge/linux-64        Cached
  + libpng                               1.6.37  h21135ba_2           conda-forge/linux-64        Cached
